"analysis","seurat_clusters","n","retained_for_slingshot","root_cluster","root_cluster_selection","is_root_cluster","root_cluster_projectils_label","skip_reason"
"CD4-like_all_conditions","0",849,TRUE,"3","naive/memory marker score",FALSE,NA,NA
"CD4-like_all_conditions","1",507,TRUE,"3","naive/memory marker score",FALSE,NA,NA
"CD4-like_all_conditions","2",504,TRUE,"3","naive/memory marker score",FALSE,NA,NA
"CD4-like_all_conditions","3",321,TRUE,"3","naive/memory marker score",TRUE,"Th1",NA
"CD4-like_all_conditions","4",186,TRUE,"3","naive/memory marker score",FALSE,NA,NA
"CD4-like_all_conditions","5",138,TRUE,"3","naive/memory marker score",FALSE,NA,NA
