"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","projectils_label","projectils_label_prop","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype","seurat_cluster_projectils_label"
"CD8-like_41BB-L","0",64,"slingPseudotime_1",20.5097515536301,20.8369555989138,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_41BB-L","1",99,"slingPseudotime_1",29.1695068184847,28.7917986458735,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1: Activated effector CD8 T cells (stress)","1: CD8_Tex"
"CD8-like_41BB-L","2",36,"slingPseudotime_1",16.4795482691442,15.7340558184383,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_41BB-L","4",15,"slingPseudotime_1",20.5097515536301,20.8314732192205,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_41BB-L","5",32,"slingPseudotime_1",45.3819408595675,52.6964086807559,"Cytotoxic CD8 T cells","CD8_Tex",0.300469483568075,"T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5: Cycling / proliferating CAR T cells","5: CD8_Tex"
"CD8-like_41BB-L","0",64,"slingPseudotime_2",25.2533900461465,23.6925121703829,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_41BB-L","1",19,"slingPseudotime_2",22.5507674836292,22.5815663019585,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1: Activated effector CD8 T cells (stress)","1: CD8_Tex"
"CD8-like_41BB-L","2",36,"slingPseudotime_2",28.9538115934273,23.0366273799038,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_41BB-L","4",20,"slingPseudotime_2",29.4832936538051,29.7572837270601,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_B7H3","0",237,"slingPseudotime_1",14.7228184225914,14.1670133528257,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_B7H3","1",211,"slingPseudotime_1",29.9730405752888,30.3075831263579,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1: Activated effector CD8 T cells (stress)","1: CD8_Tex"
"CD8-like_B7H3","2",113,"slingPseudotime_1",8.98384425756915,9.11637350246239,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_B7H3","4",33,"slingPseudotime_1",15.4974781271048,14.6777951141439,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_B7H3","6",14,"slingPseudotime_1",3.83535482802529,4.55776413607369,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6: Naïve / central-memory T cells","6: CD8_NaiveLike"
"CD8-like_B7H3","0",185,"slingPseudotime_2",13.965080001486,13.3610231371238,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_B7H3","1",10,"slingPseudotime_2",16.2118406449012,16.5798384946219,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1: Activated effector CD8 T cells (stress)","1: CD8_Tex"
"CD8-like_B7H3","2",113,"slingPseudotime_2",8.48548037372369,8.36916527166276,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_B7H3","4",37,"slingPseudotime_2",14.486628375288,13.8285958935343,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_B7H3","5",96,"slingPseudotime_2",40.2073141665535,44.3290282396496,"Cytotoxic CD8 T cells","CD8_Tex",0.300469483568075,"T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5: Cycling / proliferating CAR T cells","5: CD8_Tex"
"CD8-like_B7H3","6",14,"slingPseudotime_2",3.85718736321141,4.73609876755138,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6: Naïve / central-memory T cells","6: CD8_NaiveLike"
"CD8-like_CD28-41BB","0",38,"slingPseudotime_1",14.2548367252769,15.2985185882688,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_CD28-41BB","2",12,"slingPseudotime_1",28.7362861502505,27.0659006523011,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_CD28-41BB","3",1,"slingPseudotime_1",15.2673508204975,15.2673508204975,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3: Terminally differentiated cytotoxic T cells","3: CD8_Tex"
"CD8-like_CD28-41BB","4",14,"slingPseudotime_1",22.1026541494278,22.1115492508367,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_CD28-41BB","6",19,"slingPseudotime_1",4.99022193849058,5.13516338379669,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6: Naïve / central-memory T cells","6: CD8_NaiveLike"
"CD8-like_CD28-41BB","0",38,"slingPseudotime_2",12.7043120477358,13.0425401654487,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_CD28-41BB","2",4,"slingPseudotime_2",12.4952253573907,12.3544515549825,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_CD28-41BB","3",1,"slingPseudotime_2",14.3515336306706,14.3515336306706,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3: Terminally differentiated cytotoxic T cells","3: CD8_Tex"
"CD8-like_CD28-41BB","4",6,"slingPseudotime_2",12.118366598836,12.2771908062348,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_CD28-41BB","5",13,"slingPseudotime_2",31.0761249915381,41.530412777077,"Cytotoxic CD8 T cells","CD8_Tex",0.300469483568075,"T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5: Cycling / proliferating CAR T cells","5: CD8_Tex"
"CD8-like_CD28-41BB","6",19,"slingPseudotime_2",4.98413222705597,5.08123018066254,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6: Naïve / central-memory T cells","6: CD8_NaiveLike"
"CD8-like_CD28-41BB","0",38,"slingPseudotime_3",13.6581929621982,15.1979355414121,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_CD28-41BB","2",31,"slingPseudotime_3",21.8680714474313,24.2579902577684,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_CD28-41BB","3",1,"slingPseudotime_3",15.8038085493793,15.8038085493793,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3: Terminally differentiated cytotoxic T cells","3: CD8_Tex"
