"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","projectils_label","projectils_label_prop","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype","seurat_cluster_projectils_label"
"CD8-like_all_conditions","0",584,"slingPseudotime_1",18.897336699924,19.22320130128,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_all_conditions","1",349,"slingPseudotime_1",33.1925750704513,33.6323837837182,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1: Activated effector CD8 T cells (stress)","1: CD8_Tex"
"CD8-like_all_conditions","2",302,"slingPseudotime_1",22.5280484240644,19.9127085495776,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_all_conditions","3",32,"slingPseudotime_1",18.049872298205,18.3818451907486,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3: Terminally differentiated cytotoxic T cells","3: CD8_Tex"
"CD8-like_all_conditions","4",270,"slingPseudotime_1",14.9359042281494,14.2948798697749,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
"CD8-like_all_conditions","6",138,"slingPseudotime_1",9.37665487012147,9.13386199367764,"Naive / memory CD8 T cells","CD8_NaiveLike",0.797101449275362,"T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6: Naïve / central-memory T cells","6: CD8_NaiveLike"
"CD8-like_all_conditions","0",359,"slingPseudotime_2",16.7830110622296,16.6983687797838,"Stress-response CD8 T cells","CD8_NaiveLike",0.470890410958904,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0: Activated effector CD8 T cells (stress)","0: CD8_NaiveLike"
"CD8-like_all_conditions","1",3,"slingPseudotime_2",17.8730641332124,17.8537294513884,"Cytotoxic CD8 T cells","CD8_Tex",0.590257879656161,"NKT (NKT.44+NK1.1+)","NK cells","Activated effector CD8 T cells (stress)","1: Activated effector CD8 T cells (stress)","1: CD8_Tex"
"CD8-like_all_conditions","2",71,"slingPseudotime_2",14.5588710779353,13.6169918406472,"Cytotoxic CD8 T cells","CD8_EffectorMemory",0.390728476821192,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2: Quiescent T cells","2: CD8_EffectorMemory"
"CD8-like_all_conditions","3",23,"slingPseudotime_2",16.4496017675369,16.3341447310635,"Cytotoxic CD8 T cells","CD8_Tex",0.437722419928826,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3: Terminally differentiated cytotoxic T cells","3: CD8_Tex"
"CD8-like_all_conditions","4",270,"slingPseudotime_2",14.4421044677518,14.0245326157795,"Cytotoxic CD8 T cells","CD8_NaiveLike",0.422222222222222,"T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4: Quiescent T cells","4: CD8_NaiveLike"
