gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Mideas	428.7231709256105	2.445255426522373	0.09722578961449278	25.15027582926285	1.4034111785473985e-139	1.5836091738728844e-135	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Egr3	741.122521546	4.07808336377302	0.17554141894162809	23.231459494634056	2.190495649280533e-119	1.2358776453240767e-115	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Itpkc	455.1178391440036	2.8832380154877946	0.12425066183307783	23.205011329124552	4.05253454757178e-119	1.5242933278266656e-115	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Btaf1	384.99604135007905	1.7190501001031433	0.07646914442588974	22.48031036582559	6.468557190859153e-112	1.824779983541367e-108	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Csf1	1535.0436395005254	3.1087024088778583	0.13926579706094425	22.32208104562426	2.2554385915426588e-110	5.090073813393473e-107	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dennd4a	1425.719536100282	3.496406822910036	0.1599205238341583	21.86340276458761	5.795854760774052e-106	1.0900070853429068e-102	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Rbm39	2632.5238784551093	1.001552478198706	0.04697242902857646	21.32213511013865	7.075561921965523e-101	1.1405805818208422e-97	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Skil	5277.048596689227	2.4439678413690764	0.11921152767760668	20.50110328238134	2.1046736178625535e-93	2.9686421379951315e-90	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Wnk1	2401.9601930721333	1.3363906847230298	0.06683976346460817	19.993946947921984	6.217755632345829e-89	7.795683839487815e-86	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Marcksl1	3176.2163656546704	2.794243543954368	0.1400147796011739	19.95677564835406	1.308898183597298e-88	1.4769607103711912e-85	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Rela	1573.098289224646	1.8339509432159091	0.0946827302672975	19.36943451079735	1.3978433128911003e-83	1.4339330856966522e-80	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Etv3	1094.5374991601218	2.8486110604380253	0.14835034584715923	19.201917219477608	3.5668031114777144e-82	3.3539838591595445e-79	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cd83	5906.663441289074	3.631974457928536	0.1903836949899764	19.07712978319786	3.9115803276177944e-81	3.3952517243722456e-78	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Icam1	4731.466763289323	3.7501263612128137	0.19734842122301588	19.002565807075495	1.624074360699579e-80	1.3090039347238607e-77	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klf10	831.261405293558	2.80145527413263	0.14791754491793127	18.93930348618857	5.410815416320793e-80	4.0703760771842556e-77	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nfkbiz	6675.3287188660715	2.213853477719198	0.11696070903568818	18.928181061587832	6.683041063958753e-80	4.713214710356911e-77	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Birc3	1387.0967868232246	3.0222994087081183	0.1617779891768565	18.68177138364679	6.9668390237165885e-78	4.62434185550694e-75	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Prkab2	124.5603115454716	2.4996073209510823	0.13480169116412308	18.54284838242699	9.315466230697401e-77	5.83976227484386e-74	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ccl17	395.4996916994497	9.779085368707344	0.5293028287144548	18.475407343766356	3.2575926425459044e-76	1.9346671251835783e-73	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dusp2	189.1101056162112	2.98190279422194	0.16169985838761042	18.440973442747406	6.162180457502434e-76	3.3316975468650116e-73	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Donson	777.2848112074437	2.0929376391103207	0.11349593982857163	18.440638865774137	6.200429677788483e-76	3.3316975468650116e-73	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
