program	n_samples	median_high_score	median_low_score	median_paired_difference	p_value	adjusted_p_value
Antigen presentation	12	0.19050802139037434	0.18190173796791448	-0.007376814362108519	0.2895874244268877	0.2895874244268877
Inflammatory activation	12	0.11855357739886327	0.09085590103644264	0.031427616181879	0.0025261742685021692	0.0050523485370043385
T-cell recruitment	12	0	0	0	NA	NA
