pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0364321608040201	0.0569252512562814	0.26635065708852557	0.3643345633147431	1.3133093752499296	155	Egr3;Dusp2;Batf;Jak2;Aff1;Tpbg;Zfp36;Rbbp8;Siah2;Id2;Btg3;Cdh1;Plk4;Elovl5;Isg20;Jak1;Areg;Slc7a5;Tiam1;Lsr;Pkp3;Ncor2;Flnb;Bcl2;Ass1;Olfm1;Ccnd1;Mapk13;Nab2;Abhd2;Myb;St14;Cish;Sfn;Xbp1	Enriched in Kdm6b-high
HALLMARK_NOTCH_SIGNALING	0.044657097288676235	0.06766226861920642	0.27128855468895297	0.5421797462600791	1.485601294515076	27	Lfng;Fbxw11;Ppard;Dtx2;Notch1;Sap30;Fzd5;Notch2;Ccnd1	Enriched in Kdm6b-high
HALLMARK_KRAS_SIGNALING_UP	0.08375	0.12316176470588237	0.17093233537005617	0.33785559525848496	1.2202520097094265	160	Birc3;Cxcl10;Jup;Trib1;Tnfaip3;Ppp1r15a;Il1b;Ptbp2;Traf1;Ccnd2;Id2;Yrdc;Hbegf;Plau;Dcbld2;Mtmr10;Dock2;Aldh1a2;Tor1aip2;Satb1;Tmem176a;Il10ra;Ank;Glrx;Prelid3b;Ptgs2;Rabgap1l;Avl9;C3ar1;Prdm1;Map4k1;Tspan13;Ccser2;Csf2;Pdcd1lg2;Irf8;Mpzl2;Fbxo4;Map3k1;Spon1	Enriched in Kdm6b-high
HALLMARK_UV_RESPONSE_UP	0.08656330749354005	0.12366186784791436	0.17093233537005617	0.3506343475989005	1.244152011491816	138	Icam1;Nfkbia;Nr4a1;Hnrnpu;Gls;Eif5;Ddx21;Chka;Rrad;Junb;Atf3;Btg3;Plcl1;Btg1;Irf1;Htr7;Polr2h;Sqstm1;Epcam;Ppp1r2;Gch1;Rasgrp1;Ccnd3;Olfm1;Lyn;Fosb;Ykt6;Aqp3;Nxf1;Tap1;Bcl2l11;Cltb;Il6;Rab27a	Enriched in Kdm6b-high
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.10854816824966079	0.15076134479119555	0.1552419662288392	0.3654096657080679	1.23979537123121	94	Nfkbib;Map2k3;Cltc;Cdkn1a;Tiam1;Myd88;Sqstm1;Ddit3;Sla;Mapk8;Mknk2;Traf2;Ube2n;Map3k7;Itpr2;Arhgdia;Dapp1;Rptor;Eif4e;Slc2a1;Ptpn11;Ube2d3;Sfn;Ripk1;Arf1;Prkar2a;Gna14;Grb2;Mknk1;Prkcb;Stat2	Enriched in Kdm6b-high
HALLMARK_HEDGEHOG_SIGNALING	0.12872841444270017	0.17010985407443843	0.15315880868307333	0.46311589766997274	1.3019464108177174	30	Tle3;Ache;Cdk6;L1cam;Cdk5r1;Ets2;Ophn1;Nf1;Nrp2;Ldb1;Myh9;Celsr1	Enriched in Kdm6b-high
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.1292834890965732	0.17010985407443843	0.15214492236756472	0.4509220463688589	1.3032516419357323	35	Rbpj;Ppard;Ccnd2;Maml1;Notch1;Ncor2;Numb;Jag2;Csnk1e	Enriched in Kdm6b-high
HALLMARK_MTORC1_SIGNALING	0.14987714987714987	0.19215019215019216	0.12267918956880833	0.3145852628784903	1.1616849687669142	191	Nfkbib;Insig1;Ppp1r15a;Ifrd1;Map2k3;Etf1;Hk2;Hspa5;Niban1;Elovl5;Cdkn1a;Ldlr;Ccnf;Slc7a5;Ifi30;Edem1;Sqstm1;Txnrd1;Ddit3;Psma3;Hmgcr;Coro1a;Got1;Sla;Slc1a5;Gtf2h1;Nupr1;Dhcr24;Hmgcs1;Glrx;Ykt6;Rab1a;Eprs;Dapp1;Cyp51;Nmt1;Slc2a1;Sc5d;Idi1;Gclc;Ube2d3;Xbp1;Arpc5l;M6pr;Ppa1;Slc2a3;Mcm4;Nup205;Atp6v1d;Hspa9;Psmc6	Enriched in Kdm6b-high
HALLMARK_COAGULATION	0.1821705426356589	0.22771317829457363	0.20658792269689108	-0.2867203212918542	-1.1253710531282914	105	S100a1;F10;Anxa1;Apoc2;Ctsk;Gng12;Ctsb;Thbs1;Cpq;Dusp6;Pef1;Mmp14;Ctsh;Mmp8;Apoc1;Ctso;Pf4;Fn1;Lrp1;Cfb;S100a13;Htra1;Casp9;Rabif;C2;Trf;Ang;Lta4h	Enriched in Kdm6b-low
HALLMARK_ANGIOGENESIS	0.224	0.2731707317073171	0.15114876138548375	-0.3922529698715111	-1.1804885369568925	27	Spp1;Vegfa;Lpl;Nrp1;App;Lrpap1;Pf4	Enriched in Kdm6b-low
HALLMARK_PANCREAS_BETA_CELLS	0.2718204488778055	0.32359577247357796	0.13077713797197438	-0.3903004427563982	-1.1389800196531796	23	Sec11a;Spcs1;Srp14;Srprb;Mafb;Lmo2;Srp9;Elp4	Enriched in Kdm6b-low
HALLMARK_COMPLEMENT	0.30493827160493825	0.3437601824698599	0.07977059186284526	0.29459722539670874	1.0745805364716405	170	Dyrk2;Usp16;Maff;Pdgfb;Tnfaip3;Dusp5;Jak2;Casp4;Ehd1;F3;Src;Dpp4;Plek;Hspa5;Lcp2;Irf1;Fyn;Plscr1;Gpd2;Gnb4;Dock4;Sh2b3;Rasgrp1;Pim1;Ccl5;Cdk5r1;Actn2;Csrp1;Lyn;Cxcl3	Enriched in Kdm6b-high
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.3058064516129032	0.3437601824698599	0.08197787965012722	0.301741912744908	1.071516381720189	139	Pmp22;Tnfaip3;Wipf1;Gem;Gadd45b;Basp1;Dst;Tnfrsf12a;Sdc4;Id2;Pvr;Fas;Areg;Itga5;Notch2;Cxcl3;Cadm1;Comp;Cxcl2;Lox;Vcam1;Il6;Tpm4;Sparc;Serpine2;Itgb3;Itgav;Pmepa1	Enriched in Kdm6b-high
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.3093841642228739	0.3437601824698599	0.08835944425009051	0.34404745642459467	1.0977000041553802	67	Chka;Srebf2;Tnfrsf12a;Atf3;Niban1;Errfi1;Cxcl16;Pnrc1;Ldlr;Actg1;Plscr1;Cpeb2;Hmgcr;Pmvk;Hmgcs1;Cyp51;Antxr2;Fdps;Sc5d;Idi1	Enriched in Kdm6b-high
HALLMARK_PROTEIN_SECRETION	0.7434944237918215	0.8081461128171973	0.09139243259437684	-0.23372166124783514	-0.8998259436707897	91	Tmx1;Ap2s1;Snx2;Vps45;Lman1;Bet1;Tmed10;Rer1;Ctsc;Cav2;Zw10;Rab9;Clta;Ppt1;Ergic3;Galc;Arfip1;Cd63;Bnip3	Enriched in Kdm6b-low
HALLMARK_HEME_METABOLISM	0.7923832923832924	0.8429609493439281	0.03389841880019376	0.2360716330508049	0.8639784993698282	173	Picalm;Bach1;Lpin2;Icam4;Slc11a2;Map2k3;Cdc27;Optn;Tent5c;Ell2;Nudt4;Top1;Mfhas1;Rbm38;Vezf1;Fbxo34;Tns1;Synj1;H1f0;Bmp2k;Ccnd3;Smox;Epb41;Aqp3;Ranbp10;Mark3;Slc2a1;Gclc;Agpat4;Daam1;Arl2bp;Nek7	Enriched in Kdm6b-high
HALLMARK_APICAL_SURFACE	0.8201634877384196	0.8464215179159221	0.06961334388509648	-0.26113258262225686	-0.796729860244371	29	Hspb1;Flot2;Sulf2;App	Enriched in Kdm6b-low
HALLMARK_DNA_REPAIR	0.8294930875576036	0.8464215179159221	0.09754492162471996	-0.21257924683575852	-0.8857382378450489	144	Snapc5;Rfc2;Xpc;Polr3gl;Mpc2;Polr2k;Polr2g;Polr2f;Bcap31;Hprt;Pold3;Mpg;Ercc3;Eloa;Dgcr8;Taf6;Bola2;Upf3b;Gmpr2;Dguok;Rfc5;Nudt9;Aprt;Cetn2;Ercc4;Polh;Nt5c;Nme1;Aaas;Arl6ip1;Polr2e;Itpa;Ago4;Ada;Tmed2;Surf1;Nt5c3;Pnp2;Tk2;Polr2j;Clp1;Nelfb;Brf2;Pde6g;Umps;Ercc1;Nme4;Dad1;Polr2i	Enriched in Kdm6b-low
HALLMARK_SPERMATOGENESIS	0.9972677595628415	0.9972677595628415	0.027799559409767232	0.18998578268959182	0.6406418623763399	89	Pgs1;Braf;Pomc;Tnni3;Ezh2;Tle4;Il12rb2;Sirt1;Slc12a2;Prkar2a;Hspa4l	Enriched in Kdm6b-high
