pathway	pval	padj	log2err	ES	NES	size	leadingEdge	direction
HALLMARK_FATTY_ACID_METABOLISM	0.040787088131824543	0.07104296337816128	0.3217759180753611	-0.3560266743603869	-1.302040926287691	115	Hsp90aa1;S100a10;Hsph1;Ostc;Acsl5;Hadh;Ube2l6;Blvra;Ech1;Fh1;H2az1;Ldha;Ywhah;Cpox;Idi1;Erp29;Nsdhl;Alad;Idh3b;Adsl;Psme1;Gcdh;Aldh9a1;Apex1;Ccdc58;Mdh2;Eci2;Sdhd;Hsd17b4;Mif;Ncaph2;Kmt5a;Hmgcs1;Acaa2;Dhcr24;Grhpr;Acadl;Pts	Enriched in Kdm6b-low
HALLMARK_APICAL_SURFACE	0.04144172863726075	0.07104296337816128	0.3217759180753611	0.5757269378116243	1.513739472155361	20	Il2rb;B4galt1;Sulf2;Crybg1;Lyn;Rtn4rl1	Enriched in Kdm6b-high
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.06967213114754098	0.11531938948558507	0.24504178543099617	0.369390628837881	1.2865453363769888	82	Itga2;Tgfb1;Tpm4;Pmepa1;Vegfa;Tnfaip3;Gem;Tnfrsf12a;Gpc1;Itgb3;Areg;Cd44;Gadd45a;Itga5;Igfbp4;Pvr;Id2	Enriched in Kdm6b-high
HALLMARK_SPERMATOGENESIS	0.0900562851782364	0.14409005628517824	0.20429475651688608	-0.3775977662511044	-1.259888065044156	65	Bub1;Kif2c;Nek2;Ccnb2;Ezh2;Cdk1;Agfg1;Cdkn3;Topbp1;Ncaph;Hspa4l;Taldo1;Aurka;Tsn;Ttk	Enriched in Kdm6b-low
HALLMARK_P53_PATHWAY	0.12783505154639174	0.19285714285714284	0.17821987495197314	0.3027040887912047	1.1567777566523068	167	Mxd1;Mknk2;Tgfb1;Klf4;Slc3a2;Ninj1;Kif13b;Tcn2;Pitpnc1;Hexim1;Fbxw7;Baiap2;Tgfa;Zbtb16;Btg1;Traf4;Mxd4;Cgrrf1;Blcap;Tob1;Sesn1;Cdkn2aip;Tspyl2;Sfn;Rrad;Osgin1;Zfp36l1;Gadd45a;Cdkn1a;Wwp1;Irak1;Csrnp2;Ier5;Gpx2;Cd82;Pdgfa;Coq8a;Ptpre;Perp;Dnttip2;Slc35d1;Cd81	Enriched in Kdm6b-high
HALLMARK_XENOBIOTIC_METABOLISM	0.12857142857142856	0.19285714285714284	0.17669426893849804	0.3170580864590227	1.1616974359636905	119	Irf8;Car2;Tnfrsf1a;Smox;Ninj1;Man1a;Elovl5;Gch1;Sertad1;Esr1;Ppard;Pink1;Por;Gcnt2;Marchf6;Npc1;Gclc;Lpin2;Ets2;Igfbp4;Id2;Crot;Jup;Xdh;Tmem176b;Slc35d1	Enriched in Kdm6b-high
HALLMARK_WNT_BETA_CATENIN_SIGNALING	0.14435146443514643	0.20996576645112208	0.16823816568963962	0.4440997293632184	1.2403755900980395	27	Csnk1e;Ctnnb1;Maml1;Cul1;Ppard;Tcf7;Axin2;Hdac5;Lef1;Ncor2;Numb	Enriched in Kdm6b-high
HALLMARK_PROTEIN_SECRETION	0.16082474226804125	0.22704669496664648	0.15740289930528326	0.3372009600931991	1.1758290226930088	83	Vamp3;Gnas;Clcn3;Napa;Ap1g1;Igf2r;Atp6v1h;Cln5;Atp7a;Gla;Mon2;Rab22a;Arfgef1;Sec24d;Rab2a;Stx7;Rab5a;Cltc;Vamp4;Abca1;Golga4;Rab14;Atp1a1;Galc;Uso1;Kif1b;Ergic3	Enriched in Kdm6b-high
HALLMARK_ANDROGEN_RESPONSE	0.16804979253112035	0.23046828689982218	0.15419096658142434	0.3399600257986142	1.1724529280512157	79	Zbtb10;B4galt1;Rab4a;Pmepa1;Ptk2b;Ell2;Elk4;Elovl5;Slc38a2;Gnai3;Ube2j1;Abhd2;Arid5b;Sec24d;Pias1;Vapa;Appbp2	Enriched in Kdm6b-high
HALLMARK_UV_RESPONSE_UP	0.1836734693877551	0.24489795918367346	0.1455161460903603	0.3061242639901929	1.121636027440166	119	Bcl2l11;Ago2;Dgat1;Car2;Nr4a1;Sqstm1;Abcb1a;Junb;Lyn;Gch1;Chka;Nxf1;Btg3;Gls;Btg1;Prkcd;Icam1;Rrad;Grina	Enriched in Kdm6b-high
