program	sample	kdm6b_group	n_cells	median_ucell_score
Memory/stem-like	Tumor_only_D2	Kdm6b-low	28	0.02328881469115196
Exhaustion/dysfunction	41BB-L_pos_T_D1	Kdm6b-high	63	0
Exhaustion/dysfunction	41BB-L_pos_T_D1	Kdm6b-low	96	0.049498997995991945
Exhaustion/dysfunction	41BB-L_pos_T_D2	Kdm6b-high	124	0
Exhaustion/dysfunction	41BB-L_pos_T_D2	Kdm6b-low	156	0
Exhaustion/dysfunction	B7H3_pos_T_D1	Kdm6b-high	128	0
Exhaustion/dysfunction	B7H3_pos_T_D1	Kdm6b-low	327	0
Exhaustion/dysfunction	B7H3_pos_T_D2	Kdm6b-high	156	0
Exhaustion/dysfunction	B7H3_pos_T_D2	Kdm6b-low	470	0.1133934535738143
Exhaustion/dysfunction	CD28-41BB_pos_T_D1	Kdm6b-high	65	0
Exhaustion/dysfunction	CD28-41BB_pos_T_D1	Kdm6b-low	42	0
Exhaustion/dysfunction	CD28-41BB_pos_T_D2	Kdm6b-high	78	0
Exhaustion/dysfunction	CD28-41BB_pos_T_D2	Kdm6b-low	145	0
Exhaustion/dysfunction	CD8-41BB_pos_T_D1	Kdm6b-high	460	0
Exhaustion/dysfunction	CD8-41BB_pos_T_D1	Kdm6b-low	568	0.08340013360053444
Exhaustion/dysfunction	CD8-41BB_pos_T_D2	Kdm6b-high	118	0
Exhaustion/dysfunction	CD8-41BB_pos_T_D2	Kdm6b-low	127	0
Exhaustion/dysfunction	STOP_pos_T_D1	Kdm6b-high	41	0
Exhaustion/dysfunction	STOP_pos_T_D1	Kdm6b-low	99	0
Exhaustion/dysfunction	STOP_pos_T_D2	Kdm6b-high	103	0
Exhaustion/dysfunction	STOP_pos_T_D2	Kdm6b-low	171	0
Exhaustion/dysfunction	Tumor_only_D1	Kdm6b-high	44	0
Exhaustion/dysfunction	Tumor_only_D1	Kdm6b-low	48	0
Exhaustion/dysfunction	Tumor_only_D2	Kdm6b-high	32	0
Exhaustion/dysfunction	Tumor_only_D2	Kdm6b-low	28	0
IFN response	41BB-L_pos_T_D1	Kdm6b-high	63	0
IFN response	41BB-L_pos_T_D1	Kdm6b-low	96	0
IFN response	41BB-L_pos_T_D2	Kdm6b-high	124	0.17604340567612686
IFN response	41BB-L_pos_T_D2	Kdm6b-low	156	0.23384808013355596
IFN response	B7H3_pos_T_D1	Kdm6b-high	128	0
IFN response	B7H3_pos_T_D1	Kdm6b-low	327	0.1764607679465776
IFN response	B7H3_pos_T_D2	Kdm6b-high	156	0.13772954924874792
IFN response	B7H3_pos_T_D2	Kdm6b-low	470	0.242779632721202
IFN response	CD28-41BB_pos_T_D1	Kdm6b-high	65	0
IFN response	CD28-41BB_pos_T_D1	Kdm6b-low	42	0
IFN response	CD28-41BB_pos_T_D2	Kdm6b-high	78	0
IFN response	CD28-41BB_pos_T_D2	Kdm6b-low	145	0.1009181969949916
