program	n_samples	median_high_score	median_low_score	median_paired_difference	p_value	adjusted_p_value
Cytotoxicity	12	0.2358837287003007	0.16615157589932064	0.056646063035972805	0.01078744925467036	0.03212810046874129
Expansion/proliferation	12	0	0	0	NA	NA
Memory/stem-like	12	0	0	0	0.8551321405847059	0.8551321405847059
Exhaustion/dysfunction	12	0	0	0	0.1814492077214203	0.3024153462023672
IFN response	12	0	0.11859348914858095	-0.06087228714524212	0.012851240187496516	0.03212810046874129
Chemokine responsiveness	12	0.17670783266577658	0.2133121940364931	-0.03482421005785491	0.266402424640499	0.33300303080062377
