gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr
Cd8b1	56.900030024067505	-4.075591679968225	0.2752476973053352	-14.806996461253325	1.3200849771556023e-49	3.659935599163907e-47	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Nr4a3	167.97700107902392	2.327331653564914	0.1581538697171176	14.715616239600731	5.1177891577110945e-49	1.3759098608246313e-46	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Sell	59.98970371416707	2.0186850971692145	0.13761076841742417	14.669528557865462	1.0104466303666403e-48	2.636671324886127e-46	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Rin3	50.11054618634689	2.063301551608421	0.14088626525272493	14.645157552492606	1.446655317108097e-48	3.667064563823725e-46	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Bcl2l11	195.68566922391855	1.9808052560588576	0.13553629618471974	14.614574190217336	2.267677283327466e-48	5.588564682689244e-46	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Serpinb6b	38.443781910487225	2.8495446552060817	0.19708058217476487	14.45877936710779	2.206766500693942e-47	5.291468214636933e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Dusp5	440.80121434169615	1.5073750252615752	0.10441672508795875	14.436145397126657	3.0651108294500053e-47	7.15622717865275e-45	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Top2a	58.098208101339594	-4.7657313952627325	0.3344258733020397	-14.250486507539204	4.4516907555410544e-46	1.0127025739271854e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Zbtb10	99.54507760692731	3.2030642332451027	0.2249119133702375	14.241416496121289	5.068908253069823e-46	1.1242838505308867e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Pik3r5	46.39675955693929	1.9988343957683394	0.14150559405922813	14.125479696101015	2.6459198386568163e-45	5.725512392332505e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Crem	212.2696600091003	1.8729464368846034	0.1329058911744161	14.092275521682359	4.2368613847824926e-45	8.949865287092923e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Pik3r1	84.90284562449028	1.7916424371803483	0.12721128441104093	14.083989840014915	4.7642250394831626e-45	9.829815011696424e-43	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Txk	54.31147970945016	2.5349684401978223	0.18037160548591308	14.05414357414367	7.26555357572263e-45	1.46499980281389e-42	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
B4galt1	95.97397552947224	1.483019234505835	0.10683178347928454	13.881816686074545	8.164798359482802e-44	1.6097353565629204e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Prf1	50.38078780486536	2.6853564789551516	0.19496578813980053	13.773475359839093	3.680717539388821e-43	7.098983915099482e-41	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Stat3	117.23186245449193	1.368190609825878	0.10012526256690579	13.66478923250388	1.6478019073947494e-42	3.1104890473204715e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Clcf1	39.28248837225673	2.2688543968762076	0.16611335101020003	13.658471056531097	1.7971758377130704e-42	3.321780006706325e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tfip11	55.369031809940175	1.685218299005647	0.12376951338980863	13.615778658659657	3.226880305328592e-42	5.8426289936480134e-40	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Cd3e	149.8698169109488	-1.9761330226143883	0.14717016269022046	-13.427538479888515	4.17044801778155e-41	7.400042962751582e-39	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Klhdc2	50.404702341791904	2.0620305241962704	0.15413460949730298	13.378114953685023	8.118017847356639e-41	1.4122167517989825e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Spry2	54.10164161382096	3.5934733255395206	0.2695376211890008	13.331991688906994	1.5081677786460583e-40	2.573166256182275e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Plcg1	43.154033372437766	-1.8487665660734625	0.13910874217406585	-13.29008182505247	2.6428904659165394e-40	4.4240989082285917e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Il12rb2	62.847749655190356	2.2211833096761446	0.16720164925492062	13.2844581352763	2.8491344625696594e-40	4.681022398503337e-38	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Gramd4	24.181333019090626	2.0915821701232034	0.15874747578177054	13.175530255350278	1.2137167249209934e-39	1.957835415181646e-37	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ncapd2	42.0472923654483	-3.560079710907787	0.27025965422315507	-13.172812350186044	1.2582192998820523e-39	1.9933788622417083e-37	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-low	TRUE
Mxd1	110.24740671309816	1.827799381447674	0.14003054605227097	13.052861914609604	6.120428914497703e-39	9.52639391744274e-37	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klrb1c	23.34329226006298	3.5547501572355933	0.273810886950237	12.982501159209356	1.5377557242407072e-38	2.3522359974937162e-36	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Klri2	44.01586687216895	3.2677937684781173	0.252330940745472	12.950428349468105	2.3364669182097418e-38	3.513412626840141e-36	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Irs2	92.3971346655919	2.344839305643752	0.1813706325780379	12.928439804800503	3.1106722926495284e-38	4.5996474300644365e-36	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Nrarp	28.946130314304128	3.1853697620349006	0.24936411499946223	12.773970152208028	2.291607650711326e-37	3.3329742749362106e-35	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Aff1	34.39137151701444	1.8746124920009657	0.14722724575891669	12.732782457063871	3.887346489795491e-37	5.562667428623484e-35	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Skil	148.5568889080839	1.301904212405738	0.10248732164289745	12.703075771089411	5.6850623766677076e-37	8.006011651713636e-35	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Plekha2	76.33435646497465	1.2083104915365177	0.09598006555599063	12.589181769537774	2.421705983660843e-36	3.3570899198498433e-34	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Stat4	89.25823719070435	1.4782762182165874	0.11749103867878831	12.582033786066729	2.6511538340884456e-36	3.618621048620414e-34	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Isy1	102.53221744406055	1.0342534402190122	0.08230008422919646	12.566857615099554	3.2124021589583754e-36	4.318247265799804e-34	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Ago2	80.07507842262605	1.16740587223833	0.09338277455863095	12.501297779553198	7.34424521203601e-36	9.725096047937832e-34	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Aff4	39.460765194447255	1.6488225587572556	0.1319546396786175	12.495373885852365	7.912343012177217e-36	1.0323280471181803e-33	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
Tiprl	85.41070688892404	1.4100373380681703	0.1130447861662846	12.473262906562171	1.044594142251318e-35	1.3431361202976366e-33	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE
