gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	comparison	direction	significant_fdr	heatmap_direction
Vps37b	728.0548422832403	2.5578026808493024	0.10517370421662815	24.319792669667226	1.2106274648063935e-130	1.0740686867762323e-126	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Ifngr1	333.48272999210195	1.470235341662433	0.06425341436966896	22.88182435261312	7.049049486070604e-116	3.12695835202092e-112	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Dennd4a	108.41320047857312	2.3369988935767645	0.12683501686635848	18.42550228884486	8.202578726297825e-76	2.4257759486571434e-72	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Kctd12	41.47893528771993	2.7786678788953494	0.16135501309865674	17.22083389622607	1.8529903757417377e-66	4.109932653395174e-63	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Vgll4	114.41309227965795	1.5786957112857383	0.09189092114229529	17.180105408249094	3.7423060175574697e-66	6.640347797553975e-63	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Fosl2	159.55072706287913	2.359162748136819	0.13789682603632045	17.10817294312084	1.2898227171719442e-65	1.9072178577915814e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Ugcg	92.7400820147138	2.3747610299655166	0.13891281847860198	17.095334008584118	1.6077227930184978e-65	2.0376738028085874e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Fam107b	387.4393070517136	1.1164410059414147	0.0655375897882043	17.03512456819637	4.507808170319773e-65	4.9728705186724526e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Tatdn2	107.67444631069493	1.7360960150558462	0.10195212810065432	17.028541212419324	5.044616170880531e-65	4.9728705186724526e-62	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Klrb1b	68.69620525781828	4.752053277239956	0.28605410049580254	16.61242844973546	5.665258386886495e-62	5.026217240845698e-59	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Satb1	187.03568159827805	2.2088386870160903	0.13327042073203327	16.57411055569038	1.0723787599370278e-61	8.64922214378301e-59	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Sytl3	69.78443275335741	1.9702039835295664	0.12140669526678395	16.22813288179998	3.1901648094795686e-59	2.358595182475228e-56	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Klre1	65.02476963462524	2.6209167647319713	0.163926204694639	15.98839410461679	1.539485779937891e-57	9.10554522640598e-55	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Cemip2	32.40877213876561	2.777557200715263	0.17479036877586482	15.890790895217735	7.339567326459842e-57	4.0697900825219825e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Sft2d2	71.1105231930858	2.4967696714159113	0.1575247856004455	15.850011551508185	1.4055502457343208e-56	7.335318694208761e-54	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Irf8	217.13064589654823	3.85086980395891	0.24700383254703642	15.590324102463459	8.470272852728563e-55	4.174903374967101e-52	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Irak2	74.08410410632764	2.4113203041911455	0.1549200323338774	15.564935456470634	1.2599716336372197e-54	5.8834043861207444e-52	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
Kdm6b	232.56391093899074	2.0103140988067936	0.12969805213153995	15.499955980587357	3.471299014111518e-54	1.5398682426598696e-51	Kdm6b-high vs Kdm6b-low	Higher in Kdm6b-high	TRUE	Higher in Kdm6b-high
