"gene","lineage","rho","p_val","p_adj","abs_rho","detected_frac","n_cells"
"Unc93b1","slingPseudotime_7",-0.0188496073496049,0.314358712608077,0.414236782951074,0.0188496073496049,0.0270080673447913,2851
"Cenpw","slingPseudotime_7",0.0188376476861854,0.314665904546328,0.414236782951074,0.0188376476861854,0.0322693791652052,2851
"Rilpl2","slingPseudotime_7",0.0188316530467944,0.314819955042816,0.414236782951074,0.0188316530467944,0.0627849877236058,2851
"Cd9","slingPseudotime_7",-0.0187393451695742,0.317198341059794,0.416927367323599,0.0187393451695742,0.0512101017186952,2851
"Mcm4","slingPseudotime_7",-0.0186029240908391,0.320734845801711,0.421132938290062,0.0186029240908391,0.104524728165556,2851
"Ppil1","slingPseudotime_7",0.0185809817446527,0.321306062053932,0.42144027027011,0.0185809817446527,0.0252542967379867,2851
"Batf","slingPseudotime_7",-0.0184788972167488,0.323972313285738,0.424230934357894,0.0184788972167488,0.0954051210101719,2851
"Insig1","slingPseudotime_7",0.0184735474929033,0.324112433849431,0.424230934357894,0.0184735474929033,0.166257453525079,2851
"Itgb3","slingPseudotime_7",0.0184462105225431,0.3248290625757,0.424724192698353,0.0184462105225431,0.0778674149421256,2851
"Tcn2","slingPseudotime_7",0.018427439711186,0.32532172894821,0.424923888385854,0.018427439711186,0.0561206594177482,2851
"Hs2st1","slingPseudotime_7",0.0183888510717189,0.326336067272909,0.425803845606614,0.0183888510717189,0.0340231497720098,2851
"Prdx5","slingPseudotime_7",0.0183285497998236,0.327925250951417,0.427100183419464,0.0183285497998236,0.110487548228692,2851
