"analysis","seurat_clusters","n","lineage","median_pseudotime","mean_pseudotime","functional_state_label","singler_immgen_label","singler_mousernaseq_label","top_previous_tcell_subtype","seurat_cluster_top_previous_tcell_subtype"
"CD8-like_CD28-41BB","0",38,"slingPseudotime_2",12.7045491886019,13.04271938736,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_CD28-41BB","2",4,"slingPseudotime_2",12.495070711066,12.354576628515,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_CD28-41BB","3",1,"slingPseudotime_2",14.3513501847562,14.3513501847562,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_CD28-41BB","4",6,"slingPseudotime_2",12.118634565291,12.277228343742,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_CD28-41BB","5",13,"slingPseudotime_2",31.0766303410701,41.5308016945871,"Cytotoxic CD8 T cells","T cells (T.8EFF.OT1LISO)","T cells","Cycling / proliferating CAR T cells","5:Cycling / proliferating CAR T cells"
"CD8-like_CD28-41BB","6",19,"slingPseudotime_2",4.98395947852891,5.0811462434547,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
"CD8-like_CD28-41BB","0",38,"slingPseudotime_3",13.658097506959,15.1974266137145,"Stress-response CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Activated effector CD8 T cells (stress)","0:Activated effector CD8 T cells (stress)"
"CD8-like_CD28-41BB","2",31,"slingPseudotime_3",21.8671230126673,24.2573572210726,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","2:Quiescent T cells"
"CD8-like_CD28-41BB","3",1,"slingPseudotime_3",15.8029063559006,15.8029063559006,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Terminally differentiated cytotoxic T cells","3:Terminally differentiated cytotoxic T cells"
"CD8-like_CD28-41BB","4",8,"slingPseudotime_3",12.8966258671595,13.4553532069897,"Cytotoxic CD8 T cells","T cells (T.8MEM.OT1.D45.LISOVA)","T cells","Quiescent T cells","4:Quiescent T cells"
"CD8-like_CD28-41BB","6",19,"slingPseudotime_3",4.99432332861747,5.14147521936199,"Naive / memory CD8 T cells","T cells (T.CD8.1H)","T cells","Naïve / central-memory T cells","6:Naïve / central-memory T cells"
