comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
CD28-41BB vs tumor	Naïve / central-memory T cells	28	-0.567073388321519	-0.31919817732737	-0.918762894005399	0.0574757484151826	0.285714285714286	0	0	NA	0.144658859011911	0.996803466376483	0.890053947268445	0.839654964697116
CD28-41BB vs tumor	γδ T cells	21	0.308268425970346	0.418482115530002	0.0910213985921238	0.91965127407912	0.761904761904762	0	0	NA	0.178033282762245	0.996803466376483	0.963636363636364	0.749498800113647
CD28-41BB vs tumor	IFN-responsive T cells	13	-0.0517181253242979	0.00197472511991335	-0.264458133557871	0.120979824059529	0.461538461538462	0	0	NA	0.192945697404937	0.996803466376483	1	0.714564901539995
CD28-41BB vs tumor	γδ / Th17-like T cells	7	-0.516380924568312	-0.790067255213422	-1.28134135767245	-0.270333173326307	0	0	0	NA	0.25593722358157	0.996803466376483	1	0.591866545607843
CD28-41BB vs tumor	Th2-like inflammatory T cells	10	-0.0080879778279977	0.0760118079900572	-0.201278853113247	0.389066700285712	0.5	0	0	NA	0.585054267824947	0.996803466376483	0.967741935483871	0.232803848236062
CD8-41BB vs tumor	Quiescent T cells	98	0.114828825613978	0.0493401968010725	-0.916029055424245	0.77535703732891	0.540816326530612	10	0.102040816326531	-2.79795131782583	0.000996152701546823	0.32483945183308	0.848752598752599	3.00167408290566
CD8-41BB vs tumor	Treg	88	0.751674194596181	1.07249308916775	0.00465776289803683	1.56043989032211	0.761363636363636	10	0.113636363636364	5.41496541450509	0.00131360961221332	0.32483945183308	0.991225369458128	2.88153368230447
CD8-41BB vs tumor	Activated effector CD8 T cells (stress)	79	0.347632160650056	0.890209814553177	-0.572435635268345	1.64566238051952	0.607594936708861	10	0.126582278481013	5.9880417029395	0.00188357066366091	0.32483945183308	0.94	2.72501808225002
CD8-41BB vs tumor	Terminally differentiated cytotoxic T cells	25	2.83950176095952	3.19074281807078	1.96589960340667	3.34691542800033	1	10	0.4	4.43286908086761	0.00320609006911695	0.32483945183308	0.981481481481482	2.49402428111755
CD8-41BB vs tumor	Antigen-presenting myeloid cells	42	-0.600559024940133	0.266213175696112	-1.81483230239348	2.07815585124953	0.452380952380952	7	0.166666666666667	-2.84930452938428	0.00473584510915892	0.32483945183308	1	2.32460251011487
CD8-41BB vs tumor	Cycling / proliferating CAR T cells	60	1.7803250261671	2.29236362086282	1.16060668779793	2.70352316575899	0.933333333333333	12	0.2	4.23777130357187	0.00510588762335782	0.32483945183308	0.98936170212766	2.29192874791263
CD8-41BB vs tumor	γδ T cells	21	0.910076549719646	0.956605768977466	0.346828071600371	1.41714556688456	0.904761904761905	1	0.0476190476190476	2.5543766784798	0.0149058998322082	0.352436565088247	0.963636363636364	1.8266418015591
CD8-41BB vs tumor	Activated CD4 effector / helper-like T cells	46	1.00082371191235	1.58230791121425	0.0410171755783026	2.63703908994802	0.760869565217391	7	0.152173913043478	5.40255539866094	0.0171931488648832	0.352436565088247	0.921795431398225	1.76464457651796
CD8-41BB vs tumor	Th2-like inflammatory T cells	10	-0.707252360842093	-0.832131850273402	-1.22790408357883	-0.465119245941568	0.1	1	0.1	-1.99760422937286	0.042866806932126	0.352436565088247	0.967741935483871	1.36787886506423
CD8-41BB vs tumor	IFN-responsive T cells	13	-0.743188519511478	-0.824941563327859	-1.06191262593705	-0.465380095127063	0.0769230769230769	0	0	NA	0.0568673462201422	0.352436565088247	1	1.24513703812448
CD8-41BB vs tumor	Naïve / central-memory T cells	28	-0.532078086369734	-0.315913391519287	-1.10476566506723	0.254930907595709	0.392857142857143	0	0	NA	0.0714862281801463	0.352436565088247	0.890053947268445	1.14577761696051
CD8-41BB vs tumor	γδ / Th17-like T cells	7	0.99283596062953	0.949693997519161	0.447807266664609	1.4959607071372	1	0	0	NA	0.124191748185904	0.415602668922683	1	0.905907259524845
CD8-41BB vs tumor	NK-like cytotoxic lymphocytes	39	0.355540827855634	0.390519809773034	-0.0016539551857909	0.687668257118313	0.743589743589744	0	0	NA	0.139501512423986	0.436730661166938	1	0.855421083904143
STOP vs tumor	Activated effector CD8 T cells (stress)	79	0.955399703993924	1.34612962557591	0.129467907870294	1.70287916816851	0.772151898734177	12	0.151898734177215	5.67606611134293	0.000380562368833095	0.211417680699886	0.94	3.41957415828791
STOP vs tumor	Terminally differentiated cytotoxic T cells	25	2.68423021819872	2.37328726924875	0.900111909786216	3.94111893433945	0.88	10	0.4	3.8729230423613	0.00153271562452917	0.211417680699886	0.981481481481482	2.81453841537017
STOP vs tumor	Activated CD4 effector / helper-like T cells	46	1.38415937692096	1.74020227056957	-0.343994049695171	3.17919583042263	0.673913043478261	12	0.260869565217391	3.27052387380255	0.00181830209957181	0.211417680699886	0.921795431398225	2.74033395979537
STOP vs tumor	Treg	88	0.23452943202269	0.628616655242652	-0.651863920337909	1.40792386609627	0.602272727272727	7	0.0795454545454545	5.81449385908556	0.00403479146226872	0.211417680699886	0.991225369458128	2.39417890682206
STOP vs tumor	Quiescent T cells	98	0.574357712381444	0.528330806567186	-0.255409333515309	1.34051685510506	0.673469387755102	8	0.0816326530612245	2.6469967539635	0.00684093265624166	0.271071374260125	0.848752598752599	2.16488468485196
STOP vs tumor	Cycling / proliferating CAR T cells	60	1.40026701298364	1.75901844051035	0.810120150229311	2.53947996699341	0.9	4	0.0666666666666667	5.81550464673045	0.0161193263119626	0.43987101969558	0.98936170212766	1.79265311297206
STOP vs tumor	Naïve / central-memory T cells	28	-0.627318127497424	-0.478060215628236	-0.930746359195917	-0.033176243311026	0.25	1	0.0357142857142857	-3.36172124929534	0.0375297586122213	0.525479102982208	0.890053947268445	1.42562422891805
STOP vs tumor	NK-like cytotoxic lymphocytes	39	-0.614401948423063	-0.616667458446059	-1.18945245874571	-0.0712912865252966	0.230769230769231	2	0.0512820512820513	-2.2858961841621	0.0447029301333456	0.555525029918521	1	1.34966400932809
STOP vs tumor	Antigen-presenting myeloid cells	42	-0.351750154284094	0.158758530924864	-0.820066034340192	0.940708610228287	0.380952380952381	0	0	NA	0.0545261972817125	0.55933241763953	1	1.26339478944239
STOP vs tumor	IFN-responsive T cells	13	-0.210040897472552	-0.0852376104737077	-0.515007916180822	0.156422464046215	0.307692307692308	0	0	NA	0.120739395953374	0.76459022058366	1	0.918151001207182
STOP vs tumor	γδ T cells	21	-0.082405708291236	-0.035232088638046	-0.458593346493004	0.442447789815788	0.476190476190476	0	0	NA	0.149668866000634	0.76459022058366	0.963636363636364	0.824868531857177
STOP vs tumor	γδ / Th17-like T cells	7	-1.22061990835499	-1.29118542816882	-1.72583398503335	-0.925486413800821	0	0	0	NA	0.190866195469462	0.76459022058366	1	0.719270983188807
STOP vs tumor	Th2-like inflammatory T cells	10	0.0252991964791061	0.0404564917963222	-0.119405053029405	0.222410365032453	0.5	0	0	NA	0.407871330358613	0.821384486126178	0.967741935483871	0.389476820558465
