comparison	n_neighborhoods	min_p_value	min_fdr	min_spatial_fdr	n_nominal	n_fdr_0_05	n_spatial_fdr_0_05	max_abs_logFC
41BB-L vs tumor	556	0.00274554169770028	0.748266180228772	0.767774573481881	32	0	0	6.39099217363241
B7H3 vs tumor	556	0.000508448039965545	0.282697110220843	0.614737326868798	44	0	0	7.09001585398675
CD28-41BB vs tumor	556	0.00145914354821783	0.811283812809114	0.996803466376483	23	0	0	6.75048051994555
CD8-41BB vs tumor	556	0.000996152701546823	0.258079410780632	0.32483945183308	68	0	0	7.03217566623887
STOP vs tumor	556	0.000380562368833095	0.184056005133833	0.211417680699886	56	0	0	7.31294213403002
