cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Th2-like inflammatory T cells	conditionB7H3	condition	-0.6600068371750001	-0.31520243186555125	0.02973177871250005	0.11250000000000004	0.04020833333333331	1.0046767463522006	232.50986718651367	493.3810466073903	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditionCD28-41BB	condition	-0.129596028775	0.310745528537489	0.680635726625	0.13249999999999995	0.10199999999999998	1.00178078898191	134.14745161450563	142.11218989012866	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditionCD8-41BB	condition	-0.7990001599000001	-0.42843060508146724	-0.050819548569999984	0.039000000000000035	0.018708333333333344	1.0097888373318742	268.3647309395459	145.45777330586867	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditionSTOP	condition	-0.16749241817499996	0.20289947848006476	0.552363834675	0.26249999999999996	0.123	1.0129317412608765	99.14997027875168	130.60544789132743	NA	NA	NA	NA	NA	NA	NA	NA
Th2-like inflammatory T cells	conditiontumor	condition	0.020782065192500004	0.39488305734367923	0.7605098862000003	0.05500000000000005	0.022	1.0010681269685204	259.5526149793459	261.2115378736422	NA	NA	NA	NA	NA	NA	NA	NA
Treg	(Intercept)	NA	0.9630737351750001	1.16464627917475	1.33229058275	0	0	1.0069420895185388	154.6406239645185	118.36780465145014	-6.45878197775	-5.78170522752	-4.9559376975	0	0	1.0246514831544822	75.0403066716698	54.03401847798287
Treg	conditionB7H3	condition	-0.5142471659	-0.25824218712202146	0.008647429036000033	0.11224999999999996	0.02574999999999996	1.000554659416341	360.17479536824703	812.6816381009832	NA	NA	NA	NA	NA	NA	NA	NA
Treg	conditionCD28-41BB	condition	-0.588671845425	-0.30655576488149977	-0.022690412012499894	0.07150000000000001	0.07150000000000001	1.004292290210662	538.7034660961123	1411.9240380386816	NA	NA	NA	NA	NA	NA	NA	NA
Treg	conditionCD8-41BB	condition	-0.599820142025	-0.345670917413813	-0.0822084814699999	0.03500000000000003	0.014650000000000007	1.0010563025006962	458.6046414269913	1307.2750425414918	NA	NA	NA	NA	NA	NA	NA	NA
Treg	conditionSTOP	condition	-0.7072543598250001	-0.4334699698762175	-0.134542942175	0.01375000000000004	0.0060833333333333295	1.0033129061552761	379.06742164985	378.70165318893976	NA	NA	NA	NA	NA	NA	NA	NA
Treg	conditiontumor	condition	-1.06816536725	-0.75201814329275	-0.42332493937499976	0	0	1.0027443561529863	390.1231471542976	1390.0935469242859	NA	NA	NA	NA	NA	NA	NA	NA
γδ / Th17-like T cells	(Intercept)	NA	-1.1125125117499999	-0.824602060842	-0.54194391425	0	0	1.0006626504099583	329.62777106699406	851.2035284706939	-6.2899494984999995	-5.5587693779	-4.52363797375	0	0	1.0025725076728929	75.8718007387298	52.29295754988643
γδ / Th17-like T cells	conditionB7H3	condition	-1.0589057175	-0.6903582219138	-0.2858035808499998	0.0024999999999999467	0.0014166666666666217	1.003271221120701	169.9753193735179	153.54851127888702	NA	NA	NA	NA	NA	NA	NA	NA
γδ / Th17-like T cells	conditionCD28-41BB	condition	-0.5378890996500001	-0.204433589734702	0.10528136845000004	0.266	0.1848	0.9997845548469407	354.793653132938	755.6077274124781	NA	NA	NA	NA	NA	NA	NA	NA
γδ / Th17-like T cells	conditionCD8-41BB	condition	0.2436479999	0.58193311743304	0.9037500053	0.0040000000000000036	0.0020000000000000018	0.9999616334195518	291.0144590641332	565.6200713230435	NA	NA	NA	NA	NA	NA	NA	NA
γδ / Th17-like T cells	conditionSTOP	condition	-0.95863623025	-0.5882323432342	-0.23743843422499986	0.0044999999999999485	0.0022499999999999742	1.00098729811789	228.14064284610618	484.03579849354543	NA	NA	NA	NA	NA	NA	NA	NA
γδ / Th17-like T cells	conditiontumor	condition	-0.1313872682	0.24842113117224274	0.5790945328500001	0.18400000000000005	0.06096428571428573	1.0007892588508283	249.87903639770116	203.022008659805	NA	NA	NA	NA	NA	NA	NA	NA
γδ T cells	(Intercept)	NA	-0.5278776407000001	-0.33749883207008	-0.129202056625	0.01375000000000004	0.0017500000000000016	1.0008438920536842	485.2461407138833	702.0974133808813	-7.5903309625	-6.4134622075825	-5.064969741500001	0	0	1.0142787391032924	83.35424304143143	46.10999986607123
γδ T cells	conditionB7H3	condition	-0.39813805739999997	-0.09379749918838268	0.18471114765000013	0.5367500000000001	0.22985416666666666	1.0039644436697803	333.5628094646156	546.7791135759461	NA	NA	NA	NA	NA	NA	NA	NA
γδ T cells	conditionCD28-41BB	condition	-0.30897152474999995	-0.013285025125173674	0.289851028475	0.7152499999999999	0.3727916666666667	1.003855184747261	634.3361149358543	1507.2851985374325	NA	NA	NA	NA	NA	NA	NA	NA
γδ T cells	conditionCD8-41BB	condition	0.189162552825	0.43654819941554	0.683084652825	0.004750000000000032	0.0029166666666666785	1.0045308222632152	780.1052034707341	1920.688982986898	NA	NA	NA	NA	NA	NA	NA	NA
γδ T cells	conditionSTOP	condition	-0.5137447984750001	-0.19946912336051525	0.11195270845000002	0.26	0.1055625	0.9998728615788444	427.9899799602152	935.4193234567505	NA	NA	NA	NA	NA	NA	NA	NA
γδ T cells	conditiontumor	condition	-0.262921904275	0.06877263383103736	0.38254462749999996	0.577	0.18461363636363634	1.0066431867517347	394.5820562680849	1086.3175571895704	NA	NA	NA	NA	NA	NA	NA	NA
