"condition","cd4_cd8_marker_group","scgate_cd4_cd8_group","projectils_label","n"
"B7H3","Ambiguous","Ambiguous","CD8_Tpex",5
"B7H3","Ambiguous","CD4-like","Th1",71
"B7H3","Ambiguous","CD4-like","Treg",59
"B7H3","Ambiguous","CD4-like","Tfh",28
"B7H3","Ambiguous","CD4-like","CD4_NaiveLike",17
"B7H3","Ambiguous","CD4-like","CD8_NaiveLike",14
"B7H3","Ambiguous","CD4-like","CD8_EarlyActiv",9
"B7H3","Ambiguous","CD4-like","CD8_Tpex",1
"B7H3","Ambiguous","CD8-like","CD8_NaiveLike",2
"B7H3","Ambiguous","CD8-like","CD8_Tex",1
"CD28-41BB","CD4-like","Ambiguous","Treg",9
"CD28-41BB","CD4-like","Ambiguous","Th1",6
"CD28-41BB","CD4-like","Ambiguous","CD8_EarlyActiv",4
"CD28-41BB","CD4-like","Ambiguous","Tfh",3
"CD28-41BB","CD4-like","Ambiguous","CD4_NaiveLike",2
"CD28-41BB","CD4-like","Ambiguous","CD8_Tex",1
"CD28-41BB","CD4-like","CD4-like","Treg",104
"CD28-41BB","CD4-like","CD4-like","Th1",94
"CD28-41BB","CD4-like","CD4-like","Tfh",27
"CD28-41BB","CD4-like","CD4-like","CD4_NaiveLike",24
"CD28-41BB","CD4-like","CD4-like","CD8_NaiveLike",14
"CD28-41BB","CD4-like","CD4-like","CD8_EarlyActiv",7
"CD28-41BB","CD4-like","CD4-like","CD8_EffectorMemory",2
"CD28-41BB","CD8-like","Ambiguous","CD8_EffectorMemory",18
"CD28-41BB","CD8-like","Ambiguous","CD8_Tex",15
"CD28-41BB","CD8-like","Ambiguous","Th1",7
"CD28-41BB","CD8-like","Ambiguous","CD8_NaiveLike",6
"CD28-41BB","CD8-like","Ambiguous","CD8_EarlyActiv",4
"CD28-41BB","CD8-like","Ambiguous","Treg",2
"CD28-41BB","CD8-like","Ambiguous","CD8_Tpex",1
"CD28-41BB","CD8-like","Ambiguous","Tfh",1
"CD28-41BB","CD8-like","CD8-like","CD8_NaiveLike",49
"CD28-41BB","CD8-like","CD8-like","CD8_EffectorMemory",32
"CD28-41BB","CD8-like","CD8-like","CD8_EarlyActiv",30
"CD28-41BB","CD8-like","CD8-like","CD8_Tex",16
"CD28-41BB","CD8-like","CD8-like","CD8_Tpex",8
"CD28-41BB","CD8-like","CD8-like","Th1",8
"CD28-41BB","CD8-like","CD8-like","CD4_NaiveLike",4
"CD28-41BB","Ambiguous","Ambiguous","CD8_NaiveLike",92
"CD28-41BB","Ambiguous","Ambiguous","Th1",65
"CD28-41BB","Ambiguous","Ambiguous","CD8_EarlyActiv",62
"CD28-41BB","Ambiguous","Ambiguous","CD8_EffectorMemory",11
"CD28-41BB","Ambiguous","Ambiguous","CD8_Tex",11
"CD28-41BB","Ambiguous","Ambiguous","CD4_NaiveLike",10
"CD28-41BB","Ambiguous","Ambiguous","Tfh",4
"CD28-41BB","Ambiguous","Ambiguous","Treg",4
"CD28-41BB","Ambiguous","Ambiguous","CD8_Tpex",2
"CD28-41BB","Ambiguous","CD4-like","Th1",15
"CD28-41BB","Ambiguous","CD4-like","Treg",14
"CD28-41BB","Ambiguous","CD4-like","CD8_NaiveLike",4
"CD28-41BB","Ambiguous","CD4-like","Tfh",3
"CD28-41BB","Ambiguous","CD4-like","CD4_NaiveLike",2
"CD28-41BB","Ambiguous","CD4-like","CD8_EarlyActiv",1
"CD8-41BB","CD4-like","Ambiguous","Th1",93
"CD8-41BB","CD4-like","Ambiguous","Treg",42
"CD8-41BB","CD4-like","Ambiguous","CD8_Tex",16
"CD8-41BB","CD4-like","Ambiguous","CD8_EffectorMemory",9
"CD8-41BB","CD4-like","Ambiguous","CD8_EarlyActiv",7
"CD8-41BB","CD4-like","Ambiguous","Tfh",7
"CD8-41BB","CD4-like","Ambiguous","CD8_NaiveLike",4
"CD8-41BB","CD4-like","Ambiguous","CD4_NaiveLike",2
"CD8-41BB","CD4-like","Ambiguous","CD8_Tpex",1
"CD8-41BB","CD4-like","CD4-like","Th1",436
"CD8-41BB","CD4-like","CD4-like","Treg",255
"CD8-41BB","CD4-like","CD4-like","Tfh",43
"CD8-41BB","CD4-like","CD4-like","CD4_NaiveLike",38
"CD8-41BB","CD4-like","CD4-like","CD8_NaiveLike",30
"CD8-41BB","CD4-like","CD4-like","CD8_Tex",26
"CD8-41BB","CD4-like","CD4-like","CD8_EarlyActiv",10
"CD8-41BB","CD4-like","CD4-like","CD8_EffectorMemory",9
"CD8-41BB","CD4-like","CD4-like","CD8_Tpex",5
"CD8-41BB","CD4-like","CD8-like","Th1",3
"CD8-41BB","CD4-like","CD8-like","CD8_Tex",2
"CD8-41BB","CD4-like","CD8-like","CD8_EffectorMemory",1
"CD8-41BB","CD8-like","Ambiguous","Th1",47
"CD8-41BB","CD8-like","Ambiguous","CD8_EffectorMemory",38
"CD8-41BB","CD8-like","Ambiguous","CD8_Tex",25
"CD8-41BB","CD8-like","Ambiguous","Treg",25
"CD8-41BB","CD8-like","Ambiguous","CD8_NaiveLike",23
"CD8-41BB","CD8-like","Ambiguous","CD8_EarlyActiv",14
"CD8-41BB","CD8-like","Ambiguous","CD4_NaiveLike",3
"CD8-41BB","CD8-like","Ambiguous","CD8_Tpex",1
"CD8-41BB","CD8-like","CD4-like","Treg",4
"CD8-41BB","CD8-like","CD4-like","Th1",2
"CD8-41BB","CD8-like","CD4-like","CD8_Tex",1
"CD8-41BB","CD8-like","CD8-like","CD8_NaiveLike",207
"CD8-41BB","CD8-like","CD8-like","CD8_EffectorMemory",178
"CD8-41BB","CD8-like","CD8-like","CD8_Tex",133
"CD8-41BB","CD8-like","CD8-like","CD8_EarlyActiv",78
"CD8-41BB","CD8-like","CD8-like","Th1",65
"CD8-41BB","CD8-like","CD8-like","CD8_Tpex",24
"CD8-41BB","CD8-like","CD8-like","CD4_NaiveLike",9
"CD8-41BB","CD8-like","CD8-like","Treg",8
"CD8-41BB","Ambiguous","Ambiguous","CD8_NaiveLike",377
"CD8-41BB","Ambiguous","Ambiguous","Th1",252
"CD8-41BB","Ambiguous","Ambiguous","CD8_EarlyActiv",179
"CD8-41BB","Ambiguous","Ambiguous","CD8_EffectorMemory",65
"CD8-41BB","Ambiguous","Ambiguous","CD8_Tex",65
"CD8-41BB","Ambiguous","Ambiguous","CD4_NaiveLike",28
"CD8-41BB","Ambiguous","Ambiguous","Treg",19
"CD8-41BB","Ambiguous","Ambiguous","CD8_Tpex",6
"CD8-41BB","Ambiguous","Ambiguous","Tfh",6
"CD8-41BB","Ambiguous","CD4-like","Th1",62
"CD8-41BB","Ambiguous","CD4-like","Treg",44
"CD8-41BB","Ambiguous","CD4-like","CD4_NaiveLike",13
"CD8-41BB","Ambiguous","CD4-like","Tfh",7
"CD8-41BB","Ambiguous","CD4-like","CD8_NaiveLike",5
"CD8-41BB","Ambiguous","CD4-like","CD8_EarlyActiv",4
"CD8-41BB","Ambiguous","CD4-like","CD8_EffectorMemory",3
"CD8-41BB","Ambiguous","CD4-like","CD8_Tex",1
"CD8-41BB","Ambiguous","CD4-like","CD8_Tpex",1
"CD8-41BB","Ambiguous","CD8-like","CD8_EffectorMemory",4
"CD8-41BB","Ambiguous","CD8-like","CD8_EarlyActiv",3
"CD8-41BB","Ambiguous","CD8-like","CD8_NaiveLike",2
"CD8-41BB","Ambiguous","CD8-like","CD8_Tex",1
"STOP","CD4-like","Ambiguous","Th1",16
"STOP","CD4-like","Ambiguous","Treg",5
"STOP","CD4-like","Ambiguous","CD8_NaiveLike",2
"STOP","CD4-like","Ambiguous","Tfh",2
"STOP","CD4-like","Ambiguous","CD8_EffectorMemory",1
"STOP","CD4-like","Ambiguous","CD8_Tex",1
"STOP","CD4-like","CD4-like","Th1",240
"STOP","CD4-like","CD4-like","Treg",76
"STOP","CD4-like","CD4-like","Tfh",32
"STOP","CD4-like","CD4-like","CD4_NaiveLike",30
"STOP","CD4-like","CD4-like","CD8_NaiveLike",18
"STOP","CD4-like","CD4-like","CD8_EarlyActiv",4
"STOP","CD4-like","CD4-like","CD8_EffectorMemory",1
"STOP","CD4-like","CD4-like","CD8_Tex",1
"STOP","CD4-like","CD8-like","CD8_EarlyActiv",1
"STOP","CD8-like","Ambiguous","CD8_EffectorMemory",20
"STOP","CD8-like","Ambiguous","CD8_EarlyActiv",14
"STOP","CD8-like","Ambiguous","CD8_NaiveLike",9
"STOP","CD8-like","Ambiguous","CD8_Tex",7
"STOP","CD8-like","Ambiguous","Th1",4
"STOP","CD8-like","Ambiguous","CD8_Tpex",1
"STOP","CD8-like","Ambiguous","Treg",1
"STOP","CD8-like","CD4-like","Treg",1
"STOP","CD8-like","CD8-like","CD8_EffectorMemory",89
"STOP","CD8-like","CD8-like","CD8_NaiveLike",69
"STOP","CD8-like","CD8-like","CD8_EarlyActiv",49
"STOP","CD8-like","CD8-like","CD8_Tex",12
"STOP","CD8-like","CD8-like","Th1",10
"STOP","CD8-like","CD8-like","CD8_Tpex",6
"STOP","CD8-like","CD8-like","CD4_NaiveLike",2
"STOP","CD8-like","CD8-like","Tfh",1
"STOP","Ambiguous","Ambiguous","CD8_NaiveLike",90
"STOP","Ambiguous","Ambiguous","Th1",80
"STOP","Ambiguous","Ambiguous","CD8_EarlyActiv",72
"STOP","Ambiguous","Ambiguous","CD8_EffectorMemory",40
"STOP","Ambiguous","Ambiguous","CD4_NaiveLike",13
"STOP","Ambiguous","Ambiguous","Treg",8
"STOP","Ambiguous","Ambiguous","CD8_Tex",7
"STOP","Ambiguous","Ambiguous","Tfh",3
"STOP","Ambiguous","Ambiguous","CD8_Tpex",2
"STOP","Ambiguous","CD4-like","Th1",29
"STOP","Ambiguous","CD4-like","Treg",6
"STOP","Ambiguous","CD4-like","CD8_NaiveLike",4
"STOP","Ambiguous","CD4-like","Tfh",4
"STOP","Ambiguous","CD4-like","CD4_NaiveLike",3
"STOP","Ambiguous","CD4-like","CD8_EarlyActiv",2
"STOP","Ambiguous","CD8-like","CD8_EarlyActiv",1
"STOP","Ambiguous","CD8-like","CD8_EffectorMemory",1
"tumor","CD4-like","Ambiguous","CD8_Tpex",2
"tumor","CD4-like","Ambiguous","Tfh",2
"tumor","CD4-like","Ambiguous","Th1",2
"tumor","CD4-like","Ambiguous","Treg",2
"tumor","CD4-like","Ambiguous","CD4_NaiveLike",1
"tumor","CD4-like","Ambiguous","CD8_EarlyActiv",1
"tumor","CD4-like","Ambiguous","CD8_NaiveLike",1
"tumor","CD4-like","CD4-like","Th1",38
"tumor","CD4-like","CD4-like","CD4_NaiveLike",17
"tumor","CD4-like","CD4-like","Treg",11
"tumor","CD4-like","CD4-like","CD8_NaiveLike",9
"tumor","CD4-like","CD4-like","CD8_EarlyActiv",5
"tumor","CD4-like","CD4-like","Tfh",5
"tumor","CD8-like","Ambiguous","CD8_NaiveLike",5
"tumor","CD8-like","Ambiguous","Th1",5
"tumor","CD8-like","Ambiguous","CD8_Tex",2
"tumor","CD8-like","Ambiguous","Tfh",2
"tumor","CD8-like","Ambiguous","CD8_EarlyActiv",1
"tumor","CD8-like","Ambiguous","CD8_EffectorMemory",1
"tumor","CD8-like","Ambiguous","CD8_Tpex",1
"tumor","CD8-like","Ambiguous","Treg",1
"tumor","CD8-like","CD4-like","Treg",1
"tumor","CD8-like","CD8-like","CD8_NaiveLike",22
"tumor","CD8-like","CD8-like","CD8_EffectorMemory",20
"tumor","CD8-like","CD8-like","CD8_EarlyActiv",14
"tumor","CD8-like","CD8-like","CD8_Tpex",8
"tumor","CD8-like","CD8-like","CD8_Tex",6
"tumor","CD8-like","CD8-like","Th1",6
"tumor","CD8-like","CD8-like","CD4_NaiveLike",5
"tumor","CD8-like","CD8-like","Tfh",1
"tumor","Ambiguous","Ambiguous","CD8_EarlyActiv",50
"tumor","Ambiguous","Ambiguous","Th1",42
"tumor","Ambiguous","Ambiguous","CD8_NaiveLike",40
"tumor","Ambiguous","Ambiguous","CD4_NaiveLike",8
"tumor","Ambiguous","Ambiguous","Treg",6
"tumor","Ambiguous","Ambiguous","CD8_Tex",5
"tumor","Ambiguous","Ambiguous","CD8_EffectorMemory",4
"tumor","Ambiguous","Ambiguous","CD8_Tpex",3
"tumor","Ambiguous","Ambiguous","Tfh",2
"tumor","Ambiguous","CD4-like","Th1",6
"tumor","Ambiguous","CD4-like","Treg",4
"tumor","Ambiguous","CD4-like","CD8_EarlyActiv",3
"tumor","Ambiguous","CD4-like","Tfh",3
"tumor","Ambiguous","CD4-like","CD4_NaiveLike",2
"tumor","Ambiguous","CD4-like","CD8_NaiveLike",2
