comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
CD28-41BB vs STOP	Treg	88	0.436341698367204	0.321888966309364	-0.324111221790169	0.776442877559225	0.647727272727273	2	0.0227272727272727	2.38387035557059	0.0149327852723691	0.999411758030983	0.991225369458128	1.82585917984342
CD28-41BB vs STOP	Terminally differentiated cytotoxic T cells	25	-0.617069725265581	0.0990900152858622	-1.13107770924803	0.714423365485315	0.32	2	0.08	1.69945267948335	0.0204571095923209	0.999411758030983	0.981481481481482	1.68915572823783
CD28-41BB vs STOP	Quiescent T cells	98	-0.213439962077007	-0.197887324740531	-0.763510085497852	0.356201028766088	0.408163265306122	2	0.0204081632653061	-2.51218196322738	0.0272603129061226	0.999411758030983	0.848752598752599	1.5644691634455
CD28-41BB vs STOP	Cycling / proliferating CAR T cells	60	-0.298708329195862	-0.384721848669712	-0.7271475703432	0.0707805481425456	0.333333333333333	0	0	NA	0.0822398410045664	0.999411758030983	0.98936170212766	1.08491773797558
CD28-41BB vs STOP	Antigen-presenting myeloid cells	42	0.171128462659074	0.162428923711307	-0.594138847841952	1.09881063204137	0.642857142857143	0	0	NA	0.0833880120389092	0.999411758030983	1	1.07889637957288
CD28-41BB vs STOP	Activated effector CD8 T cells (stress)	79	-0.261147673654284	-0.304531811879672	-0.772645445595364	0.098319241675648	0.329113924050633	0	0	NA	0.102504783922122	0.999411758030983	0.94	0.989255865510698
CD28-41BB vs STOP	Naïve / central-memory T cells	28	0.165296344923644	0.158862038300866	-0.0856410673617827	0.406968680728941	0.607142857142857	0	0	NA	0.164231317163749	0.999411758030983	0.890053947268445	0.784544023985446
CD28-41BB vs STOP	γδ T cells	21	0.623092329915492	0.453714204168048	0.254544580594548	0.741333122571537	0.80952380952381	0	0	NA	0.201510104647032	0.999411758030983	0.963636363636364	0.695703171446352
CD28-41BB vs STOP	IFN-responsive T cells	13	0.15199454535476	0.0872123355936211	-0.290802236703966	0.21516669135979	0.692307692307692	0	0	NA	0.382941043646544	0.999411758030983	1	0.416868083446167
CD28-41BB vs STOP	γδ / Th17-like T cells	7	0.261759409568436	0.501118172955395	0.226161651052703	0.853863997831729	0.857142857142857	0	0	NA	0.387895063660506	0.999411758030983	1	0.411285747181702
