comparison	n_neighborhoods	min_p_value	min_fdr	min_spatial_fdr	n_nominal	n_fdr_0_05	n_spatial_fdr_0_05	max_abs_logFC
41BB-L vs STOP	556	0.00457965792481171	0.62722110294254	0.817884360766214	36	0	0	5.26563600595996
B7H3 vs STOP	556	0.00791489617744574	0.988520613629585	0.978292788866908	21	0	0	5.48289028094699
CD28-41BB vs STOP	556	0.00406325996145925	0.999411758030983	0.999411758030983	18	0	0	5.41282198361322
CD8-41BB vs STOP	556	0.00144228332176523	0.345407018157941	0.254469261287813	31	0	0	6.60690574469236
tumor vs STOP	556	0.000380562368833095	0.184056005133833	0.211417680699886	56	0	0	7.31294213403002
