"cluster","pathway","NES","pval","padj"
"CD4+ Helper T cells","GSE13306_TREG_VS_TCONV_UP",2.01898489089958,3.1480731962316e-05,0.00155955546141313
"CD4+ Helper T cells","GSE26669_CD4_VS_CD8_TCELL_IN_MLR_UP",2.01675346181096,1.26102429262566e-06,0.000122492438150343
"CD4+ Helper T cells","GSE37605_C57BL6_VS_NOD_FOXP3_FUSION_GFP_TCONV_UP",2.00973429233045,1.29596429390816e-05,0.000792618161977905
"CD4+ Helper T cells","GSE17301_IFNA2_VS_IFNA2_AND_ACD3_ACD28_STIM_CD8_TCELL_DN",2.00859555964573,8.63611278953201e-06,0.00054850388153002
"CD4+ Helper T cells","GSE18203_CTRL_VS_INTRATUMORAL_CPG_INJ_MC38_TUMOR_DN",2.00693657811158,6.32949892661398e-07,7.29217155405713e-05
"CD4+ Helper T cells","GSE20366_TREG_VS_NAIVE_CD4_TCELL_HOMEOSTATIC_CONVERSION_DN",2.00688817839505,5.93663716468228e-07,7.17319524727707e-05
"CD4+ Helper T cells","GSE22886_NAIVE_CD8_TCELL_VS_MEMORY_TCELL_DN",2.00608082076415,8.76237074794015e-07,9.86563288302171e-05
"CD4+ Helper T cells","GSE21670_STAT3_KO_VS_WT_CD4_TCELL_DN",2.0030455350049,1.10317266098467e-06,0.000116420680765177
"CD4+ Helper T cells","GSE26669_CD4_VS_CD8_TCELL_IN_MLR_COSTIM_BLOCK_UP",2.00248770717521,2.81316484239925e-06,0.000227202087917461
"CD4+ Helper T cells","GSE7460_TCONV_VS_TREG_THYMUS_DN",1.99570555996293,2.22285074083507e-06,0.000189862113277534
"CD4+ Helper T cells","GSE39820_IL1B_IL6_VS_IL1B_IL6_IL23A_TREATED_CD4_TCELL_DN",1.99378011422672,4.41555326914309e-05,0.00206364631088065
"CD4+ Helper T cells","GSE27786_CD4_VS_CD8_TCELL_UP",1.98104326022803,1.29925193558192e-06,0.000122641501651698
"CD4+ Helper T cells","GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP",1.97639793486263,3.12751353417941e-06,0.000245931778544838
"CD4+ Helper T cells","GSE1925_CTRL_VS_3H_IFNG_STIM_MACROPHAGE_UP",1.97167032382787,2.84346577530936e-06,0.000227202087917461
"CD4+ Helper T cells","GSE36078_WT_VS_IL1R_KO_LUNG_DC_AFTER_AD5_INF_DN",1.96239503600619,1.84796869147787e-05,0.00107231479952289
"CD4+ Helper T cells","GSE3920_UNTREATED_VS_IFNG_TREATED_ENDOTHELIAL_CELL_UP",1.95868797434922,5.31572206898746e-05,0.00237244028196071
"CD4+ Helper T cells","GSE7852_TREG_VS_TCONV_LN_UP",1.95420927210215,2.56598684076653e-06,0.000211864980152623
"CD4+ Helper T cells","GSE5142_CTRL_VS_HTERT_TRANSDUCED_CD8_TCELL_EARLY_PASSAGE_CLONE_UP",1.95396861023331,2.56598684076653e-06,0.000211864980152623
"CD4+ Helper T cells","GSE6566_STRONG_VS_WEAK_DC_STIMULATED_CD4_TCELL_UP",1.95198277273315,0.000161966599815472,0.00551029602718614
"CD4+ Helper T cells","GSE32255_UNSTIM_VS_4H_LPS_STIM_DC_UP",1.9442005368449,1.32794006381199e-05,0.000802270131234708
"CD4+ Helper T cells","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP",1.93429317847987,3.56945791471056e-06,0.000276298351710565
"CD4+ Helper T cells","GSE25123_WT_VS_PPARG_KO_MACROPHAGE_IL4_STIM_DN",1.93404808585632,1.37425632546479e-05,0.000820248895946092
"CD4+ Helper T cells","GSE40274_LEF1_VS_FOXP3_AND_LEF1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",1.92320359641664,5.65801135969437e-06,0.000400425546798942
"CD4+ Helper T cells","GSE40666_WT_VS_STAT1_KO_CD8_TCELL_UP",1.91936046641902,8.39225760415712e-06,0.000547042686460452
"CD4+ Helper T cells","GSE15767_MED_VS_SCS_MAC_LN_DN",1.91786902045107,8.54732310012312e-06,0.00054850388153002
"CD4+ Helper T cells","GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_UP",1.9173701532018,6.65203901009536e-05,0.00281659839794978
"CD4+ Helper T cells","GSE13522_WT_VS_IFNAR_KO_SKIN_DN",1.91720721722111,2.67504175133592e-05,0.00139496387748612
"CD4+ Helper T cells","GSE24671_CTRL_VS_BAKIMULC_INFECTED_MOUSE_SPLENOCYTES_DN",1.91629701910897,0.000105102249101041,0.00403625226392682
"CD4+ Helper T cells","GSE3720_VD1_VS_VD2_GAMMADELTA_TCELL_WITH_LPS_STIM_UP",1.91162908783818,2.18060599267062e-05,0.00121378899861688
"CD4+ Helper T cells","GSE25123_WT_VS_PPARG_KO_MACROPHAGE_ROSIGLITAZONE_STIM_DN",1.90994418974,0.000427641912097143,0.0107011860556155
"CD4+ Helper T cells","GSE16522_MEMORY_VS_NAIVE_CD8_TCELL_DN",1.90668166334242,4.47203808340528e-05,0.0020705118378682
"CD4+ Helper T cells","GSE40685_NAIVE_CD4_TCELL_VS_FOXP3_KO_TREG_PRECURSOR_DN",1.90365794331655,0.000273722291045731,0.00802211439006934
"CD4+ Helper T cells","GSE15733_BM_VS_SPLEEN_MEMORY_CD4_TCELL_DN",1.88575469893196,4.11203873545076e-06,0.000313400613775739
"CD4+ Helper T cells","GSE31082_CD4_VS_CD8_SP_THYMOCYTE_UP",1.88509504577855,6.01497512354955e-06,0.000419692771296682
"CD4+ Helper T cells","GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN",1.88311005567108,3.92285320444828e-05,0.0018867781334793
"CD4+ Helper T cells","GSE5679_RARA_AGONIST_AM580_VS_AM580_AND_ROSIGLITAZONE_TREATED_DC_UP",1.87925718577225,5.7924426831467e-05,0.00256212152252757
"CD4+ Helper T cells","GSE10325_CD4_TCELL_VS_BCELL_UP",1.87882520337267,1.96478815597504e-05,0.00111880006031039
"CD4+ Helper T cells","GSE24210_TCONV_VS_TREG_DN",1.87564467291991,0.000325489475282113,0.00908595742678863
