"cluster","pathway","NES","pval","padj"
"Angiogenic TAMs","GSE34217_MIR17_92_OVEREXPRESS_VS_WT_ACT_CD8_TCELL_UP",2.07043536609182,2.1667158131144e-05,0.000914611141112105
"Angiogenic TAMs","GSE14699_DELETIONAL_TOLERANCE_VS_ACTIVATED_CD8_TCELL_UP",2.0701596631569,1.32860250641585e-06,0.000114469930744273
"Angiogenic TAMs","GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_DN",2.06700449051693,2.60642571353796e-08,5.90118476324208e-06
"Angiogenic TAMs","GSE29618_PDC_VS_MDC_DN",2.05606862880864,5.66849091490446e-08,1.04573160174589e-05
"Angiogenic TAMs","GSE5589_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_45MIN_DN",2.05142332269261,8.8234802627282e-07,7.99086457975439e-05
"Angiogenic TAMs","GSE2405_HEAT_KILLED_LYSATE_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP",2.05038191414661,6.68765300649325e-06,0.000343414429127246
"Angiogenic TAMs","GSE11057_NAIVE_VS_CENT_MEMORY_CD4_TCELL_DN",2.04722606584276,2.60925207505838e-07,3.02248478741065e-05
"Angiogenic TAMs","GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN",2.03529458202571,1.20939520241608e-07,1.82545378885894e-05
"Angiogenic TAMs","GOLDRATH_NAIVE_VS_EFF_CD8_TCELL_DN",2.03406325733897,1.41180765185253e-06,0.000117203565231291
"Angiogenic TAMs","GSE28737_FOLLICULAR_VS_MARGINAL_ZONE_BCELL_BCL6_HET_DN",2.02544173365197,5.36446677198414e-06,0.000310702430130849
"Angiogenic TAMs","GSE12392_IFNAR_KO_VS_IFNB_KO_CD8_NEG_SPLEEN_DC_DN",2.02399465990489,2.75741454562362e-06,0.000185603808807449
"Angiogenic TAMs","GSE21360_NAIVE_VS_SECONDARY_MEMORY_CD8_TCELL_UP",2.02305200488965,9.66174713167943e-07,8.59377901123129e-05
"Angiogenic TAMs","GSE25085_FETAL_LIVER_VS_FETAL_BM_SP4_THYMIC_IMPLANT_DN",2.02165903837364,2.03298379723643e-07,2.71501828484394e-05
"Angiogenic TAMs","GSE45365_NK_CELL_VS_CD11B_DC_DN",2.01280780789815,1.87290978221769e-07,2.59137878478509e-05
"Angiogenic TAMs","KAECH_DAY8_EFF_VS_MEMORY_CD8_TCELL_UP",2.00897629950967,1.59619174265596e-06,0.000126200493177291
"Angiogenic TAMs","GSE36888_UNTREATED_VS_IL2_TREATED_STAT5_AB_KNOCKIN_TCELL_2H_UP",2.00865434546221,1.75991409756569e-06,0.000136970814374605
"Angiogenic TAMs","GSE15930_NAIVE_VS_72H_IN_VITRO_STIM_IL12_CD8_TCELL_DN",2.00787853390166,5.88808109871809e-06,0.000318788390790378
"Angiogenic TAMs","GSE45837_WT_VS_GFI1_KO_PDC_DN",2.00734290108732,1.33291627849184e-06,0.000114469930744273
"Angiogenic TAMs","GSE2935_UV_INACTIVATED_VS_LIVE_SENDAI_VIRUS_INF_MACROPHAGE_DN",2.00651155120664,6.21824617227165e-06,0.00032263629358422
"Angiogenic TAMs","GSE21360_SECONDARY_VS_QUATERNARY_MEMORY_CD8_TCELL_DN",2.00441900020048,2.6987776361791e-06,0.000185603808807449
"Angiogenic TAMs","GSE3039_ALPHAALPHA_VS_ALPHABETA_CD8_TCELL_UP",2.00393171994476,7.69513834843699e-07,7.37105463722397e-05
"Angiogenic TAMs","GSE37533_UNTREATED_VS_PIOGLIZATONE_TREATED_CD4_TCELL_PPARG1_AND_FOXP3_TRASDUCED_UP",2.00309020495608,1.85572979732115e-06,0.000142206001853179
"Angiogenic TAMs","GSE7852_TREG_VS_TCONV_THYMUS_UP",1.99959484386346,2.75117945480869e-06,0.000185603808807449
"Angiogenic TAMs","GSE29618_BCELL_VS_MONOCYTE_DN",1.99368255402319,1.81715258345307e-07,2.58606771947993e-05
"Angiogenic TAMs","GSE13547_WT_VS_ZFX_KO_BCELL_DN",1.99197599639995,3.87387877967829e-06,0.000247381925661251
"Angiogenic TAMs","GSE23568_ID3_KO_VS_WT_CD8_TCELL_UP",1.98810125999128,1.4171552363928e-05,0.000659562481551748
"Angiogenic TAMs","GSE25123_IL4_VS_IL4_AND_ROSIGLITAZONE_STIM_MACROPHAGE_DAY10_UP",1.98582526915883,1.36888825122014e-05,0.000643248337672408
"Angiogenic TAMs","GSE360_CTRL_VS_M_TUBERCULOSIS_DC_DN",1.98541751913763,5.6120440014249e-06,0.000316722530213749
"Angiogenic TAMs","GSE29618_BCELL_VS_MONOCYTE_DAY7_FLU_VACCINE_DN",1.98478221335147,3.00726480816887e-07,3.40436045670207e-05
"Angiogenic TAMs","GSE4748_CTRL_VS_CYANOBACTERIUM_LPSLIKE_STIM_DC_3H_DN",1.98397123393505,4.94933762127101e-07,5.1359688940731e-05
"Angiogenic TAMs","GSE23502_BM_VS_COLON_TUMOR_MYELOID_DERIVED_SUPPRESSOR_CELL_UP",1.98365755127039,1.57740801834105e-06,0.000126200493177291
"Angiogenic TAMs","GSE32034_UNTREATED_VS_ROSIGLIZATONE_TREATED_LY6C_HIGH_MONOCYTE_UP",1.97866352850421,3.05976066883543e-06,0.00020320890521959
"Angiogenic TAMs","GSE20727_CTRL_VS_DNFB_ALLERGEN_TREATED_DC_UP",1.9748451026535,6.18799694973937e-06,0.00032263629358422
"Angiogenic TAMs","GSE26351_UNSTIM_VS_BMP_PATHWAY_STIM_HEMATOPOIETIC_PROGENITORS_UP",1.97459630759184,4.30359200962593e-06,0.000267952397499335
"Angiogenic TAMs","GSE3565_CTRL_VS_LPS_INJECTED_SPLENOCYTES_UP",1.97296448683635,2.65851518828025e-06,0.000185603808807449
"Angiogenic TAMs","GSE33424_CD161_HIGH_VS_INT_CD8_TCELL_DN",1.97251813869484,2.71891938276623e-05,0.00107483630520306
"Angiogenic TAMs","GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP",1.97115956627353,3.97545191746428e-07,4.21313319167864e-05
"Angiogenic TAMs","GSE22886_NAIVE_BCELL_VS_MONOCYTE_DN",1.96687891126865,3.58128136513919e-07,3.87790488690398e-05
"Angiogenic TAMs","GSE29618_MONOCYTE_VS_MDC_UP",1.96400871179601,7.90847038236306e-07,7.38865785467674e-05
"Angiogenic TAMs","GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY10_DN",1.96077400857001,2.29694576552958e-06,0.000168251277325041
