"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Marco",217.200693314154,6.57971445667183,0.777711489791811,8.46035392692113,2.66567257209618e-17,3.2012061918303e-13
"Cd55",91.9391216077468,3.06503553658972,0.399308540078168,7.67585771140711,1.64315440289564e-14,6.57754707479123e-11
"Fpr2",695.629127531479,4.66643567177671,0.604712758212484,7.71678058450524,1.19304769844345e-14,6.57754707479123e-11
"Igkc",1330.62109062955,9.8677044368112,1.33398156788303,7.39718199590331,1.39104843613292e-13,4.17627516738005e-10
"Cma1",44.6008936212526,-22.0692000648666,4.13170695241598,-5.34142433600277,9.22191067337823e-08,0.000221491850553198
"Klra2",1336.21930213196,2.08381615964665,0.412167943397174,5.0557453412592,4.28713091433843e-07,0.000858069252504837
"Lmo4",643.161443678182,1.95741227514647,0.391165503803933,5.00405136984575,5.61377867368669e-07,0.000963083829890049
"Cp",687.23218131137,1.99118623319426,0.402857377168045,4.94265798777634,7.70646090349577e-07,0.00115683611237601
"Saa3",6664.79288577442,6.747649785924,1.396086236803,4.83326144764232,1.34314204050919e-06,0.00179219919605277
"Retnla",158.018781366548,-4.68805309715513,0.984750805420711,-4.76064916255872,1.92971249922725e-06,0.00231739174032201
"Calhm6",977.008682985288,1.79455504685905,0.381023811379726,4.70982388308169,2.47930935103949e-06,0.00260965465861391
"Sod2",1987.17950839288,1.90594389487397,0.405561140117246,4.69952297284441,2.60769888445057e-06,0.00260965465861391
"Neu3",31.3149451228877,-5.32147245604163,1.14877089444726,-4.63231831670152,3.61593617873643e-06,0.00334029058234198
"Apol7c",46.8677158299311,4.74399788710925,1.03155314460641,4.59888849344679,4.24751037676843e-06,0.00364345372247229
"H2ac24",77.2123370737084,-5.44097143602229,1.19027280103082,-4.57119698216257,4.84946152814777e-06,0.00388247889943511
"Slc13a3",81.7331020705434,2.83273818770553,0.622211823974165,4.55269102668668,5.29640312591216e-06,0.00397528157119244
"H1f5",124.278305478624,-7.32003560289354,1.62972749454463,-4.49157029466381,7.06999578259117e-06,0.00499432819724338
"Fpr1",84.0794618461983,3.66301720745279,0.822590939626162,4.45302401351211,8.46692809935286e-06,0.00564885219695158
"Syt11",55.1813160987779,-4.94558631581692,1.13826673448956,-4.3448395406501,1.39377505478422e-05,0.00880939191205459
"Klrc1",14.1372505078091,5.48560911319987,1.26743991218206,4.32810191668629,1.50399874654035e-05,0.00903076047360155
"Farp1",57.7984751455279,-5.23344040128135,1.23804903308295,-4.22716731036831,2.36651703204454e-05,0.0135330966846776
"Gpr18",78.5351321349095,2.07187118331253,0.503667084627054,4.11357272799884,3.89582225388873e-05,0.0212658770213408
"Ptgs2",7220.64312380687,1.71309859274736,0.426513617373881,4.01651558816624,5.90649587662911e-05,0.0283724435929756
"Fdps",167.421714280895,1.3114614286003,0.325158738312956,4.03329596923844,5.49999357805154e-05,0.0283724435929756
"Ahr",329.025199966361,1.2831511794581,0.319195710136374,4.01995120457566,5.82101966533875e-05,0.0283724435929756
