seurat_clusters	matched_old_label	matched_count	matched_prop
0	Migratory DC	576	0.835994194484761
1	cDC2	311	0.550442477876106
2	Migratory DC	516	0.946788990825688
3	Inflammatory DC (IL12+)	350	0.883838383838384
4	Migratory DC	347	0.925333333333333
5	Migratory DC	59	0.670454545454545
