"cluster","pathway","NES","pval","padj"
"B cells","GSE45881_CXCR6HI_VS_CXCR1LO_COLONIC_LAMINA_PROPRIA_DN",1.9906131622329,1.03736865788176e-06,7.56659795681815e-05
"B cells","GSE14699_NAIVE_VS_DELETIONAL_TOLERANCE_CD8_TCELL_UP",1.9853962637459,3.05688245383561e-05,0.00137388725720842
"B cells","GSE9509_LPS_VS_LPS_AND_IL10_STIM_IL10_KO_MACROPHAGE_30MIN_DN",1.98363019841305,5.31561443566036e-07,4.18990447533422e-05
"B cells","GSE22886_TCELL_VS_BCELL_NAIVE_DN",1.97685494567125,8.83160339474571e-06,0.000474286217473871
"B cells","GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP",1.97662780936901,2.24215451974013e-07,2.1485115956804e-05
"B cells","GSE23502_WT_VS_HDC_KO_MYELOID_DERIVED_SUPPRESSOR_CELL_BM_UP",1.97552296736302,1.70334299365365e-08,2.19058873946984e-06
"B cells","GSE17580_UNINFECTED_VS_S_MANSONI_INF_TEFF_UP",1.97110030296867,4.99524567224413e-07,4.00192878692738e-05
"B cells","GSE17580_UNINFECTED_VS_S_MANSONI_INF_TREG_UP",1.96355009918517,2.90114821466869e-07,2.67507760850677e-05
"B cells","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_UP",1.96127163023624,3.66534011433238e-06,0.00022674072327522
"B cells","GSE22886_IGM_MEMORY_BCELL_VS_BLOOD_PLASMA_CELL_UP",1.95919627645831,6.57449104028136e-06,0.000377994561339471
"B cells","GSE26488_CTRL_VS_PEPTIDE_INJECTION_OT2_THYMOCYTE_DN",1.95634065626076,2.59593804562343e-08,2.95031377417714e-06
"B cells","GSE8921_UNSTIM_VS_TLR1_2_STIM_MONOCYTE_24H_UP",1.95259068737012,2.7265020063464e-06,0.000173044354610582
"B cells","GSE33425_CD161_INT_VS_NEG_CD8_TCELL_DN",1.95222250714734,9.60855796418916e-09,1.38108890502919e-06
"B cells","GSE43863_DAY6_EFF_VS_DAY150_MEM_LY6C_INT_CXCR5POS_CD4_TCELL_DN",1.94821498126019,8.43201926012427e-09,1.24870539770386e-06
"B cells","GSE6269_STAPH_AUREUS_VS_STREP_PNEUMO_INF_PBMC_DN",1.94600264603248,2.80429802152928e-05,0.00131186828967126
"B cells","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN",1.94528423529427,9.0419485083473e-08,9.40170262984963e-06
"B cells","GSE6269_FLU_VS_STAPH_AUREUS_INF_PBMC_UP",1.94324609865832,4.22114521183404e-06,0.000254675761113987
"B cells","GSE43863_LY6C_INT_CXCR5POS_VS_LY6C_LOW_CXCR5NEG_EFFECTOR_CD4_TCELL_UP",1.93554941010904,3.40712819186803e-07,2.97332776315341e-05
"B cells","GSE40274_FOXP3_VS_FOXP3_AND_PBX1_TRANSDUCED_ACTIVATED_CD4_TCELL_UP",1.91793730027847,1.2223024698732e-06,8.78440025039756e-05
"B cells","GSE15330_HSC_VS_MEGAKARYOCYTE_ERYTHROID_PROGENITOR_UP",1.91560001011377,0.000120672012101437,0.00394205226868767
"B cells","GSE17812_WT_VS_THPOK_KO_MEMORY_CD8_TCELL_UP",1.91424643417756,2.94319811854881e-05,0.00135692539673095
"B cells","GSE23568_CTRL_TRANSDUCED_VS_WT_CD8_TCELL_UP",1.90630749296285,1.03590843246685e-07,1.05468427280531e-05
"B cells","GSE22886_NAIVE_CD4_TCELL_VS_MONOCYTE_UP",1.90622844524939,0.000107335202911458,0.00356834786821969
"B cells","GSE12366_NAIVE_VS_MEMORY_BCELL_UP",1.9033528547764,3.58926944502253e-05,0.00153866313840571
