"cluster","pathway","NES","pval","padj"
"B cell contamination","GSE10325_CD4_TCELL_VS_BCELL_DN",2.08819305863401,1.87830815811329e-10,2.28192485213748e-07
"B cell contamination","GSE22886_CD8_TCELL_VS_BCELL_NAIVE_DN",2.05457718296585,1.6962737922194e-07,2.95199038175232e-05
"B cell contamination","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_BCELL_DN",2.05091975935666,6.23760737220671e-10,4.33972446791827e-07
"B cell contamination","GSE3982_MEMORY_CD4_TCELL_VS_BCELL_DN",2.0425043293482,5.31491555569168e-09,1.56657136004012e-06
"B cell contamination","GSE7831_UNSTIM_VS_CPG_STIM_PDC_4H_DN",2.04051252334518,1.16943844123377e-09,5.51507168885847e-07
"B cell contamination","GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN",2.00690968308801,7.36170393200724e-10,4.33972446791827e-07
"B cell contamination","GSE24634_TREG_VS_TCONV_POST_DAY7_IL4_CONVERSION_DN",2.00362819488213,1.25318468409194e-08,3.28334387232088e-06
"B cell contamination","GSE10325_CD4_TCELL_VS_MYELOID_DN",2.00025805676837,5.88818178301934e-09,1.63345089933643e-06
"B cell contamination","GSE7831_UNSTIM_VS_INFLUENZA_STIM_PDC_4H_DN",1.99567481746074,1.37079710188578e-09,5.87698102953939e-07
"B cell contamination","GSE10325_LUPUS_CD4_TCELL_VS_LUPUS_MYELOID_DN",1.97071285522851,1.91089891955641e-07,3.10751700159588e-05
"B cell contamination","GSE25677_MPL_VS_MPL_AND_R848_STIM_BCELL_DN",1.96777640151975,6.00099020674516e-06,0.000524086478055744
"B cell contamination","GSE22886_TCELL_VS_BCELL_NAIVE_DN",1.96252867317906,3.53719891202131e-06,0.0003437972817661
"B cell contamination","GSE29618_PDC_VS_MDC_UP",1.95794406969041,2.00241790854633e-07,3.14780095223483e-05
"B cell contamination","GSE33425_CD161_HIGH_VS_INT_CD8_TCELL_UP",1.95713415898278,6.94350533402537e-08,1.48843505251198e-05
"B cell contamination","GSE34156_UNTREATED_VS_6H_TLR1_TLR2_LIGAND_TREATED_MONOCYTE_UP",1.94912774521735,8.08432393757074e-07,0.000103042355917794
"B cell contamination","GSE29618_BCELL_VS_PDC_DAY7_FLU_VACCINE_DN",1.94603494476868,9.46829351279651e-08,1.84865055247925e-05
"B cell contamination","GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP",1.94453035721593,1.75266604514557e-07,2.95199038175232e-05
"B cell contamination","GSE11057_PBMC_VS_MEM_CD4_TCELL_UP",1.9430445415912,2.70512046457218e-06,0.000283496624687164
"B cell contamination","GSE29618_PDC_VS_MDC_DAY7_FLU_VACCINE_UP",1.9225108477884,4.94272774952496e-07,7.06360729295749e-05
"B cell contamination","GSE369_SOCS3_KO_VS_WT_LIVER_POST_IL6_INJECTION_DN",1.91835497636529,3.84189759508914e-08,9.41188731016588e-06
"B cell contamination","GSE24634_TEFF_VS_TCONV_DAY7_IN_CULTURE_DN",1.90975217576813,7.73566149622012e-07,0.000101337165600484
"B cell contamination","GSE32164_RESTING_DIFFERENTIATED_VS_CMYC_INHIBITED_MACROPHAGE_UP",1.90549340666544,8.64040745340758e-07,0.000107232004079658
"B cell contamination","GSE27670_BLIMP1_VS_LMP1_TRANSDUCED_GC_BCELL_UP",1.90204488483336,4.5612723298511e-06,0.000413672313607266
"B cell contamination","GSE22886_CD4_TCELL_VS_BCELL_NAIVE_DN",1.9003404974462,7.09820511363235e-05,0.00384771670297588
"B cell contamination","GSE25677_MPL_VS_R848_STIM_BCELL_UP",1.89833457017929,2.04364599038277e-06,0.000224135685828957
"B cell contamination","GSE15735_CTRL_VS_HDAC_INHIBITOR_TREATED_CD4_TCELL_2H_UP",1.89432429684672,2.64416088068578e-06,0.00028340597075714
"B cell contamination","GSE3982_BCELL_VS_CENT_MEMORY_CD4_TCELL_UP",1.89369191041351,1.51403454558913e-05,0.00101538375173949
"B cell contamination","GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP",1.88829209836271,4.1873025411804e-05,0.00240820960783009
"B cell contamination","GSE26890_CXCR1_NEG_VS_POS_EFFECTOR_CD8_TCELL_DN",1.88725549090152,7.08290567528527e-06,0.00058601724850255
"B cell contamination","GSE45365_NK_CELL_VS_CD8_TCELL_UP",1.88480446551078,5.0016610281047e-05,0.00280807540577878
"B cell contamination","GSE33424_CD161_INT_VS_NEG_CD8_TCELL_DN",1.88269671651101,1.64884265488449e-05,0.00107093821563422
"B cell contamination","GSE24634_TREG_VS_TCONV_POST_DAY10_IL4_CONVERSION_DN",1.88215704772525,1.21826069609665e-05,0.000857510066088331
"B cell contamination","GSE34156_NOD2_LIGAND_VS_TLR1_TLR2_LIGAND_6H_TREATED_MONOCYTE_DN",1.88123024485474,9.31665637218424e-06,0.00070866695889066
"B cell contamination","GSE21774_CD62L_POS_CD56_DIM_VS_CD62L_NEG_CD56_DIM_NK_CELL_DN",1.87147212320633,4.64978707138479e-05,0.00264197540104225
"B cell contamination","GSE34156_UNTREATED_VS_24H_NOD2_LIGAND_TREATED_MONOCYTE_DN",1.86858218289971,2.93281916158075e-06,0.000300677721000322
