"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","contrast"
"HALLMARK_INTERFERON_GAMMA_RESPONSE",4.70665566688845e-20,2.35332783344422e-18,1.16017957183021,-0.568776783168277,-2.65670569019015,198,"Isg20;Cxcl9;Parp12;Tnfaip6;Cd40;Itgb7;Psme1;Nampt;Sectm1a;Samhd1;Gbp8;Ripk2;Lap3;Nmi;Psmb9;Mthfd2;C1s1;Pfkp;Usp18;Isoc1;Fgl2;Eif2ak2;Dhx58;Trim25;Slamf7;Ptgs2;Epsti1;Plscr1;B2m;Ube2l6;Gbp4;Stat2;Klrk1;H2-D1;Gbp3;Ifi44;Ifi30;Rsad2;H2-Q7;Parp14;H2-Aa;Ifit1bl1;Cxcl10;Oas3;Zbp1;Psma2;Socs1;Gpr18;Cd69;Irf7;H2-Eb1;Znfx1;Ddx60;Herc6;Ifit2;Samd9l;H2-DMa;Nlrc5;Rtp4;Adar;Cfb;Gzma;Vcam1;Ifi35;Bpgm;Stat1;St8sia4;Gbp9;Rnf213;Serping1;Cd74;Tap1;Psmb8;Sri;Oas2;Ciita;Ifih1;Hif1a;Tdrd7;Sp110;Ifit3;Lgals3bp;Casp7;Isg15;H2-M3;Auts2;Psmb10;Il6;Cmtr1;Xaf1;Il15ra;Trim21;Il2rb;Ifitm3;Rigi;Ly6e;Bst2","41BB-L vs B7H3"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",2.9703648133315e-16,7.42591203332874e-15,1.03769615548758,-0.649336538504131,-2.73531923031779,96,"Isg20;Parp12;Psme1;Cnp;Ripk2;Lap3;Nmi;Psmb9;C1s1;Usp18;Gbp2;Eif2ak2;Dhx58;Trim25;Epsti1;Plscr1;B2m;Ube2l6;Stat2;Cd47;Sell;Gbp3;Oas1a;Ifi44;Ifi30;Trim12c;Rsad2;H2-Q7;Parp14;Cxcl10;Nub1;Irf7;Ddx60;Herc6;Ifit2;Samd9l;Rtp4;Adar;Ifi35;Cd74;Tap1;Psmb8;Ifih1;Tdrd7;Sp110;Ifit3;Lgals3bp;Isg15;Cmtr1;Trim21;Ifitm3;Ly6e;Ncoa7;Bst2;Trim26;Ogfr;Mov10;Helz2;Uba7;Oasl1;Casp1;Cmpk2;Irf9;Parp9","41BB-L vs B7H3"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",9.6515674894289e-13,1.60859458157148e-11,0.910119734774459,-0.50151525345385,-2.32739301858921,185,"Cox8a;Ndufv1;Ndufb8;Ndufa5;Atp5o;Ndufb5;Fh1;Atp5g3;Cox6c;Ndufa8;Polr2f;Mdh1;Ndufa7;Uqcr11;Glud1;Pdp1;Sdhc;Ndufs1;Cox7c;Ldha;Uqcrfs1;Dld;Idh3b;Ndufv2;Ndufa6;Hspa9;Hsd17b10;Sdha;Ndufb6;Atp6v0e;Cox7b;Ndufs4;Cox5b;Tomm70a;Ndufb3;Iscu;Slc25a4;Etfb;Suclg1;Cyc1;Ndufab1;Ndufa3;Ndufs3;Fxn;Uqcrc2;Ndufb1;Vdac3;Cox17;Isca1;Cyb5r3;Ndufa2;Atp5c1;Hadha;Mdh2;Eci1;Etfa;Cox6a1;Ndufa1;Timm8b;Casp7;Immt;Ndufa9;Ndufb4;Atp5a1;Atp5l;Acat1;Pdhb;Atp5e;Uqcrc1;Cox4i1;Timm13;Timm50;Surf1;Grpel1;Acaa1a;Aco2;Atp5g1;Cox7a2;Uqcrq;Sdhb","41BB-L vs B7H3"
"HALLMARK_COMPLEMENT",8.50955878598414e-06,9.74300760505977e-05,0.593325476396405,-0.389472850831414,-1.81079222332987,189,"Spock2;Hpcal4;S100a9;Adra2b;Mmp12;C2;Mmp13;F5;Mmp8;Lap3;Psmb9;Rhog;C1s1;Gpd2;Cd36;Csrp1;Plscr1;Anxa5;Kynu;Pdp1;Lck;Ltf;F10;Calm1;Pla2g7;Actn2;Ctsl;F8;Irf7;Gmfb;Rasgrp1;Mmp14;Zfpm2;Cpq;Dpp4;Cfb;Gzma;Tfpi2;Usp15;Gzmb;Fn1;Serping1;Klk1;Psen1;Serpinb2;Lta4h;Gzmk;Itih1;F2;Adam9","41BB-L vs B7H3"
"HALLMARK_E2F_TARGETS",9.83541313859257e-06,9.74300760505977e-05,0.593325476396405,-0.385487798778314,-1.80166549994258,197,"Dck;Spc25;Mcm2;Mcm6;Mthfd2;Bub1b;Rad51c;Ranbp1;Ing3;Stmn1;Plk4;Top2a;Xpo1;Wdr90;Smc4;Tubb5;Diaph3;Orc6;Rpa3;Trip13;Hmmr;Cdkn2a;Chek1;Depdc1a;H2ax;Dut;Dscc1;Slbp;Paics;Tk1;Naa38;E2f8;Cdc25a;Tmpo;Cdkn2c;Lmnb1;Spag5;Nop56;Ezh2;Nudt21;Pnn;Ccp110;Mcm4;Rfc3;Pole4;Mki67;Msh2;Tfrc;Hmgb3;Dek;Cks1b;Brms1l;Rrm2;Rfc1;Cdk1;Hus1;Suv39h1;Pa2g4;Nasp;Hells;Lyar;Tacc3;Usp1;Dctpp1;Ncapd2;Pan2;Cbx5;Pcna;Cenpm;Prps1;Asf1b;Mlh1;Srsf1;Racgap1;Espl1;Tra2b;Mxd3;Orc2;Cdkn1a;Pttg1;Anp32e;Aurkb;Luc7l3;Ak2","41BB-L vs B7H3"
"HALLMARK_ALLOGRAFT_REJECTION",1.16916091260717e-05,9.74300760505977e-05,0.593325476396405,-0.384714468568332,-1.79180570323657,191,"Cxcl9;Cd8b1;Il2rg;C2;Cd40;Ripk2;Tgfb2;Gbp2;Flna;B2m;H2-Oa;Cd47;Ccl11;Lck;H2-Q7;H2-Aa;Thy1;Klrd1;Socs1;Cdkn2a;Inhbb;Cd80;Irf7;Ccnd2;Ccr2;Cd79a;Capg;Ifng;Bcat1;H2-DMa;Map3k7;Dars;Gzma;Ltb;Stat1;Gzmb;St8sia4;Rars;Il1b;Sit1;Cd74;Il2ra;Itk;Tap1;Gpr65;Eif3d;Cd8a;F2;Cxcl13;Srgn;Il12rb1;Npm1;Mmp9;Hif1a;Fasl;H2-DMb1;Inhba;H2-M3;Psmb10;Il6;Cd3e;Ly75;Tpd52;Il2rb;Cd40lg","41BB-L vs B7H3"
"HALLMARK_GLYCOLYSIS",0.000734241026129369,0.00524457875806692,0.477270815362862,-0.336730524159187,-1.57378721214488,197,"Isg20;Agrn;Ddit4;Tpst1;Tpi1;Ppfia4;Gpr87;Paxip1;Homer1;Pfkp;Col5a1;Mdh1;Pdk3;Aldoa;Stmn1;Met;Sdhc;Pkm;Pgk1;Cln6;Capn5;Gale;Ldha;Egln3;B3gnt3;Dld;Sdc1;Hmmr;Fam162a;Depdc1a;Vldlr;Rragd;Mif;Mxi1;Pygb;Vegfa;Rars;Me2;Srd5a3;Ero1a;Mdh2;Sox9;Gusb;Sdc3;Tgfbi;Chst1;Casp6;Ugp2;Cdk1;Pgam2;Med24;Cited2;Nasp;Nsdhl;Sod1;Chst5;Txn1;Glrx;Pfkfb1;Cldn9;Copb2;Slc25a13;Gys1;Pygl;Idua;Ak4;Slc35a3;Prps1;Gal3st1;Ppia;Dsc2;Pkp2;Pgls","41BB-L vs B7H3"
"HALLMARK_MTORC1_SIGNALING",0.00122106713603162,0.00763166960019761,0.45505986738723,-0.336761421765989,-1.57109196414824,196,"Slc2a3;Ddit4;Tpi1;Nampt;Mcm2;Dhfr;Mthfd2;Asns;Hmgcs1;Nupr1;Fgl2;Cyp51;Aldoa;Ifi30;Pgk1;Ccng1;Psmd14;Ldha;Egln3;Hspa9;Elovl5;Calr;Psph;Vldlr;Nufip1;Pitpnb;Sytl2;Dhcr24;Atp2a2;Elovl6;Bcat1;Ccnf;Cdc25a;Cyb5b;Bub1;Ero1a;Lta4h;Uchl5;Psmb5;Mcm4;Rdh11;Psmc2;Qdpr;Immt;Tfrc;Add3;Sec11a;Ppa1;Nfil3;Sdf2l1;Rrm2;Sqle;Ctsc;Polr3g;Hmgcr;Hspe1;Gmps;Glrx;Fkbp2;Mllt11;Fdxr;Tcea1;Rrp9;Atp5g1;Slc1a5;Canx;Ak4;Psme3;Ppia;Tes;Trib3;Coro1a","41BB-L vs B7H3"
"HALLMARK_UV_RESPONSE_DN",0.00141833437658326,0.00787963542546256,0.45505986738723,0.338624364229437,1.61171759890539,141,"Mgll;Rasa2;Atxn1;Igf1r;Myc;Gja1;Ptprm;Pik3r3;Inpp4b;Ptpn21;F3;Pmp22;Gcnt1;Acvr2a;Fhl2;Prkca;Nr3c1;Sfmbt1;Ythdc1;Cdk13;Plpp3;Tjp1;Fzd2;Nfkb1;Atp2c1;Dyrk1a;Bckdhb;Atrx;Scaf8;Nr1d2;Smad3;Atrn;Sipa1l1;Id1;Dbp;Tgfbr2;Dlg1;Cdc42bpa;Zmiz1;Sdc2;Smad7;Itgb3;Rxra;Cacna1a;Nipbl;Col5a2;Mmp16;Map2k5;Pex14;Prkce;Pparg;Cav1","41BB-L vs B7H3"
"HALLMARK_INFLAMMATORY_RESPONSE",0.00191394025284241,0.00902663710431344,0.45505986738723,-0.323471910841728,-1.51358257769176,199,"Cxcl9;Tnfaip6;Cd40;Il7r;Nampt;Il1r1;Ripk2;Nod2;Nmi;Rhog;Eif2ak2;Mxd1;Ifnar1;Sell;Met;Lck;Ahr;Cxcl5;Slc7a2;Cxcl10;Dcbld2;Mefv;Best1;Cd69;Axl;Irf7;Rasgrp1;Mmp14;Lta;Atp2a2;Rtp4;Cybb;Slc1a2;Lpar1;Prok2;Il1b;Cxcr6;Il18r1;Psen1;Msr1;Sri;Ffar2;Aplnr;Hif1a;Sgms2;Inhba;Pcdh7;Il6;Il15ra;Slc31a1;Ptger4;Gpr132;Ebi3;Il2rb;Ly6e;Adm;Bst2;Ccl20;Ccl5;Pdpn;Aqp9;Kcna3","41BB-L vs B7H3"
