cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Lipid-associated TAMs	conditionCD28-41BB	condition	-0.576215532	-0.2025899865	0.16099592835	0.2885	0.0960416666666667	1.00423970644784	690.16585816077	1287.7177382355	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditionCD8-41BB	condition	-0.976557070175	-0.6176407075	-0.236279529725	0.00349999999999995	0.00116666666666665	1.00523698398796	902.956285264278	1477.20352135931	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditionSTOP	condition	-1.0783112995	-0.712553638	-0.308173792875	0.00175000000000003	0.00112499999999999	1.00445741217778	655.677873483068	929.964994268713	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditiontumor	condition	-1.23433160325	-0.8404300615	-0.4506449814	0	0	1.00421683118199	797.275742455236	1637.54147378141	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages	(Intercept)	NA	-0.70639111295	-0.4752489095	-0.2339622524	0.002	0.000230769230769231	1.00085998736699	858.052635856424	1958.73021641684	-5.95824869725	-5.460424905	-4.96210902075	0	0	1.00117513101215	1281.5753880131	2302.43894819844
Perivascular macrophages	conditionB7H3	condition	-0.899606073325	-0.5231732685	-0.144535607	0.015	0.014375	0.999924455597603	1233.34974709575	1902.58700477807	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages	conditionCD28-41BB	condition	0.27543855805	0.610302968	0.956739548575	0.00149999999999995	0.00149999999999995	1.0017301076088	1005.04688014136	1291.47718936493	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages	conditionCD8-41BB	condition	-0.128117245125	0.2148102905	0.5601361334	0.24825	0.0750277777777778	1.00113370690681	940.556826810611	1884.34219909043	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages	conditionSTOP	condition	-0.1772409703	0.201990893	0.55378496	0.299	0.09625	1.0013507896303	2033.24923276013	2216.42472953237	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages	conditiontumor	condition	0.535169758675	0.87845483	1.2251416055	0	0	1.00092902191814	1102.75930202908	1560.47561582444	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	(Intercept)	NA	-0.869112694525	-0.684226779	-0.497857732425	0	0	1.00569974815252	587.441337217542	1415.30661760402	-6.89432826525	-6.11136909	-5.3010590245	0	0	1.00341871622639	188.540671709944	1217.96412815014
Perivascular macrophages (chemokine-producing)	conditionB7H3	condition	-0.7569239844	-0.4228549185	-0.0759075243249999	0.03425	0.02265	1.00022823876011	2268.52164558168	3746.71579419687	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditionCD28-41BB	condition	-0.152255565875	0.160465912	0.481651256875	0.353	0.15934375	1.00084852330899	1948.10922240474	2861.68758472852	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditionCD8-41BB	condition	-0.2977252632	0.00790280369	0.325263587275	0.71675	0.239928571428571	1.00084912983955	2428.24650009114	3139.087607479	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditionSTOP	condition	0.010721252375	0.3211405345	0.631842954175	0.07875	0.02925	1.00255669670902	1678.15617901407	2796.48717192994	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditiontumor	condition	0.628985098675	0.912060866	1.1958814055	0	0	1.00392325960553	1164.47710370603	3430.85722453284	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	(Intercept)	NA	1.33480562475	1.51276952	1.69443496775	0	0	1.00146669588144	1659.04065838174	3139.74118796638	-4.82000211125	-4.291515805	-3.75331957625	0	0	1.00035270459771	562.100504309725	1551.40054780665
Stress-response microglia	conditionB7H3	condition	-0.726591457725	-0.405585681	-0.0775557160124999	0.0355	0.0247916666666667	1.00126026937141	2797.8695569	3522.57113330778	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditionCD28-41BB	condition	-0.214602392325	0.08837371305	0.38706629575	0.529	0.235977272727273	0.999771993191805	3545.8215541074	3443.27005007352	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditionCD8-41BB	condition	-0.84751482165	-0.5255752805	-0.20268274825	0.00575000000000003	0.0023125	1.00299997130411	2171.78132752636	3739.20104011082	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditionSTOP	condition	0.144929332875	0.4294778825	0.720339184725	0.0115	0.00458333333333331	1.00155512678725	2035.71415351358	2563.69817474001	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditiontumor	condition	0.146447214175	0.449521421	0.743872682075	0.0125	0.00322222222222223	1.0002829139133	3315.97274055591	3673.72367244492	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	(Intercept)	NA	0.503509234425	0.6675989315	0.827102070375	0	0	1.00327596634482	1161.24588172547	3674.38222904168	-5.912918783	-5.309340765	-4.6573837955	0	0	1.00291773027708	298.903873652553	1288.14963685292
TAM-like phagocytic microglia	conditionB7H3	condition	-0.00812691404125	0.2798448685	0.559588840575	0.11475	0.0407222222222222	1.00205976179328	2672.13627183984	3913.741442927	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditionCD28-41BB	condition	0.151272139325	0.425225746	0.705841362625	0.00949999999999995	0.00549999999999995	1.00259881104811	2532.05641033585	3097.92004362099	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditionCD8-41BB	condition	-0.5381746514	-0.2356211995	0.0690532532850001	0.1825	0.053375	1.00007639792285	3482.16717891981	3419.43133528324	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditionSTOP	condition	0.123914746025	0.4057122165	0.699378610525	0.01475	0.00712499999999999	1.00056784035818	2053.38734738298	3843.50173291129	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditiontumor	condition	0.133335486	0.4250082735	0.71151556045	0.01325	0.004225	1.00089892322538	3478.23076303275	3461.89137817162	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	(Intercept)	NA	-1.3271491685	-1.09929194	-0.8727982302	0	0	0.999877198217572	1529.65001622196	2528.65931067021	-6.809812601	-6.115104065	-5.3930269585	0	0	1.0034750332658	389.788291196784	1842.00399630072
cDC1	conditionB7H3	condition	0.109859583175	0.4366131365	0.7577335456	0.023	0.01725	1.00005369975074	3475.07974462376	3515.75045769634	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditionCD28-41BB	condition	-0.807177484125	-0.453311399	-0.117818661	0.01975	0.01025	0.999805966370222	3168.05189177919	2538.433199185	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditionCD8-41BB	condition	0.0318630050775	0.3379472285	0.6585652595	0.0629999999999999	0.01675	1.00064520720601	1565.77970021968	3819.4925561661	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditionSTOP	condition	-0.50139915995	-0.1669872065	0.193528417425	0.3525	0.119545454545455	1.0001553876131	1542.51129808115	1612.82692826948	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditiontumor	condition	-0.8942224343	-0.5381367945	-0.18465042195	0.00675000000000003	0.00135714285714287	1.00247680517784	1657.95951042378	2935.14564985725	NA	NA	NA	NA	NA	NA	NA	NA
