"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rhox6",0.798760931996,3.34883442892038,0,0,1
"Rhox8",1,0.366703209050398,0,0,1
"Rhox9",0.12717233654014,-3.16477726826481,0,0,1
"Rhpn1",0.0008806111571392,0.386956297193676,0,0,1
"Rhpn2",0.988880651020808,0.366703209050398,0,0,1
"Ribc1",3.76220353633942e-05,0.272505029267741,0.002,0.003,0.716887883849476
"Ribc2",0.317937216957855,0.32625837904455,0,0,1
"Ric1",2.29659780680618e-246,-0.637330185975427,0.115,0.219,4.37616712086917e-242
"Ric3",5.45474727638668e-64,-0.540042537616983,0.005,0.011,1.03940209351548e-59
"Ric8a",1.31515883859509e-18,0.394925693961626,0.119,0.142,2.50603516694295e-14
"Ric8b",6.8807691896173e-121,-1.01793547078414,0.018,0.05,1.31113056908158e-116
"Rictor",2.08149927853554e-182,-0.425726325417882,0.047,0.087,3.96629687524947e-178
"Rida",4.28081396708856e-77,-0.99652051097143,0.003,0.012,8.15709101428725e-73
"Rif1",7.79285459470124e-96,-0.332968643242918,0.021,0.042,1.48492844302032e-91
"Rigi",4.4005508172449e-11,0.0486733063602753,0.02,0.027,8.38524958226015e-07
"Riiad1",0.639573364157862,0.193836083523328,0,0,1
"Rilp",0.902613285311322,1.89810919619406,0.02,0.009,1
"Rilpl1",1.8675333713991e-14,0.701015460501979,0.15,0.168,3.55858483920098e-10
"Rilpl2",8.53809144420265e-47,1.16443241228384,0.238,0.187,1.62693332469281e-42
"Rimbp2",0.00102563832188926,-6.94631838920263,0,0.001,1
"Rimbp3",0.141664052450341,0.70740121344259,0.001,0,1
"Rimoc1",7.44922624282649e-77,0.176825465261576,0.123,0.175,1.41945006057059e-72
"Rims1",3.01965899246119e-65,-0.722368401918108,0.007,0.014,5.75396021013479e-61
"Rims2",1.38508066210331e-40,-0.823561021708808,0.001,0.001,2.63927120163786e-36
"Rims3",0.000119152487504323,-0.0492850361117148,0.001,0.002,1
"Rims4",2.38877549521028e-38,-0.417316877475593,0.002,0.003,4.55181170612319e-34
"Rin1",0.00186925314355623,0.68464759332183,0.001,0.001,1
"Rin2",0,-0.608929831880861,0.124,0.295,0
"Rin3",1.33739008480777e-16,0.540463459199152,0.15,0.175,2.5483968066012e-12
"Ring1",0.0139665108025283,0.864302567302045,0.169,0.149,1
"Rinl",0.490031071709395,0.767827209005488,0.024,0.023,1
"Rint1",0.00317190905631474,0.183349276143042,0.002,0.003,1
"Riok1",2.11135058331419e-23,0.0354471126571965,0.018,0.025,4.0231785365052e-19
