"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Nfatc1",0.0123218968868511,0.414143036171244,0.132,0.118,1
"Nfatc2",0.179155570630402,0.341413673827351,0.118,0.117,1
"Nfatc2ip",0.12077501620198,-0.243230573717361,0.005,0.006,1
"Nfatc3",0.0104416807474698,0.194775426980136,0.027,0.029,1
"Nfatc4",0.156650970708197,0.364156660444175,0,0,1
"Nfe2",0.727878702218001,0.880723526272865,0.008,0.004,1
"Nfe2l1",6.02224416954997e-05,-0.61878771295464,0.066,0.081,1
"Nfe2l2",0.000578959188172994,0.0543594233608555,0.433,0.415,1
"Nfe2l3",0.518781591890477,-0.730075115355014,0,0,1
"Nfia",0.022026643586251,0.501503205744438,0.027,0.019,1
"Nfib",0.0661431561436003,-3.32487258031126,0,0.001,1
"Nfic",0.0169148811893809,-0.201865895469752,0.029,0.033,1
"Nfil3",1.51575649475056e-15,-0.501269795936935,0.189,0.211,2.8882740007472e-11
"Nfix",4.95244230307773e-07,1.10062707735508,0.003,0.001,0.00943687880851462
"Nfkb1",0.101770059802109,0.350548570394331,0.335,0.334,1
"Nfkb2",0.000557845337300245,0.141134691783664,0.316,0.295,1
"Nfkbia",1.1229530841525e-50,0.329095613361194,0.447,0.37,2.13978710185259e-46
"Nfkbib",2.24028698493547e-16,0.175641051571588,0.516,0.48,4.26886684979454e-12
"Nfkbid",6.45687427970133e-56,0.534298711309237,0.347,0.284,1.23035739399709e-51
"Nfkbie",7.547777223898e-21,0.482635472460017,0.183,0.152,1.43822895001376e-16
"Nfkbil1",0.0991267260971816,-0.257112628155085,0.001,0.001,1
"Nfkbiz",6.25809894576749e-31,0.213246417027122,0.493,0.437,1.192480754116e-26
"Nfrkb",0.256902957787316,-0.101955105104303,0.046,0.048,1
"Nfs1",0.134663597052337,0.231266690228643,0.037,0.035,1
"Nfu1",4.23272570400822e-06,-0.425167648740282,0.117,0.133,0.0806545882898766
"Nfx1",0.123243606937933,0.257184734053578,0.018,0.016,1
"Nfxl1",0.0535755083642867,-0.073667420037358,0.153,0.157,1
"Nfya",1.64413365454228e-05,0.137987336133917,0.255,0.24,0.313289667873031
"Nfyb",0.0271460239368865,-0.06683522708212,0.019,0.02,1
"Nfyc",0.944841289754006,0.082768223055695,0.039,0.04,1
"Ngb",0.965172933554971,1.42032069528513,0.001,0,1
"Ngdn",0.295114413193166,-0.207516444162242,0.049,0.052,1
"Ngef",0.199267238774547,-0.799204160702495,0.002,0.003,1
"Ngf",0.410519045394522,-4.99754243828471,0,0,1
"Ngfr",0.798699204795907,-0.715611300635751,0.001,0.001,1
"Ngly1",0.00873229831420963,-0.0692170834385486,0.025,0.019,1
"Ngp",9.61353457989994e-19,-6.1763150715339,0,0,1.83185901419993e-14
"Ngrn",0.0167826551542054,-1.20694015553049,0.005,0.01,1
"Nhej1",0.513531832160384,0.142025354414082,0.008,0.008,1
"Nherf1",5.43128029569384e-10,-0.506440955011893,0.179,0.205,1.03493046034446e-05
"Nherf2",0.72338922591966,-2.41185498565772,0,0,1
"Nherf4",0.476289517998573,0.7137395314868,0,0,1
"Nhlh1",0.105224298755754,-0.208153032419657,0,0,1
"Nhlh2",0.680833009896151,-1.10892919346711,0,0,1
"Nhlrc1",0.431389749036682,0.389701599295408,0.004,0.002,1
"Nhlrc2",0.104077725588083,-0.0267974824340735,0.081,0.084,1
"Nhlrc3",0.557371717383712,0.0266620249284717,0.038,0.038,1
"Nhlrc4",0.560736149204767,0.280653153547,0,0,1
"Nhp2",2.13500448439014e-10,0.40626878766622,0.181,0.154,4.06825104500541e-06
"Nhs",0.257158664219202,4.2449531815006,0,0,1
"Nhsl1",0.478831718544032,-2.09437924425653,0,0,1
"Nhsl2",0.0110979860658717,-1.10951090003174,0.001,0.003,1
