cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Inflammatory monocytes	conditionB7H3	condition	-0.61825510325	-0.28107046130070573	0.046726812010000056	0.13349999999999995	0.04929545454545452	1.001518630647583	2074.7752500460524	2513.7544375422844	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory monocytes	conditionCD28-41BB	condition	-0.374908020975	-0.04335334956409805	0.290034980925	0.635	0.3036428571428571	1.0012532666036962	1366.7666821233402	2814.3212317416446	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory monocytes	conditionCD8-41BB	condition	-0.24363302237499998	0.08543427960106838	0.40633674472500003	0.52875	0.15679166666666666	1.0000598760361912	3149.4357829354244	3454.008077727756	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory monocytes	conditionSTOP	condition	-0.4308700567	-0.07935889581572217	0.2640140082500001	0.55225	0.17573214285714284	0.9999594495074023	846.9522880785628	1440.1245564260398	NA	NA	NA	NA	NA	NA	NA	NA
Inflammatory monocytes	conditiontumor	condition	-0.461444052875	-0.11855326844018158	0.21497794522500005	0.46175	0.09730357142857142	1.0005549322534493	755.4072770630213	2033.2868974810049	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	(Intercept)	NA	-0.305773242425	-0.03876923903532195	0.21023199515000002	0.68225	0.04880357142857143	1.0047801423225848	1236.0364439965356	1964.8381146529355	-5.81881201725	-5.32736889178	-4.852407062749999	0	0	1.001301787843102	1777.3012231098414	3460.7428207476005
Lipid-associated TAMs	conditionB7H3	condition	-0.22798069937499998	0.11393108244570074	0.4467685823750003	0.46299999999999997	0.09053846153846151	1.0004715336329706	1606.3277658678935	2690.16719147814	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditionCD28-41BB	condition	-0.543385203725	-0.21427285054709325	0.125162593925	0.246	0.08825	1.0033145562345058	1130.1060045142362	1623.7214223785886	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditionCD8-41BB	condition	-0.9863632969749999	-0.63836071021731	-0.2900738436999999	0.0020000000000000018	8.124999999999938e-4	1.0038957366342491	1043.1006648029702	2017.1408081802647	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditionSTOP	condition	-1.0695924015	-0.72369218021015	-0.37549262135	2.4999999999997247e-4	2.4999999999997247e-4	1.0021899482998633	597.2662522599251	1352.4131290629432	NA	NA	NA	NA	NA	NA	NA	NA
Lipid-associated TAMs	conditiontumor	condition	-1.2138335365	-0.861448136325	-0.504053627775	2.4999999999997247e-4	1.2499999999998623e-4	1.002146968666629	1655.3052153697379	2048.2923783429965	NA	NA	NA	NA	NA	NA	NA	NA
