cell_group	parameter	factor	c_lower	c_effect	c_upper	c_pH0	c_FDR	c_rhat	c_ess_bulk	c_ess_tail	v_lower	v_effect	v_upper	v_pH0	v_FDR	v_rhat	v_ess_bulk	v_ess_tail
Perivascular macrophages (chemokine-producing)	condition41BB-L	condition	-0.51221226775	-0.188790330931922	0.13305287995000004	0.29725	0.15025	1.0002563377830753	3908.6062021569846	3880.537938925289	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditionB7H3	condition	-0.962970629525	-0.620590909639725	-0.28983251827499984	0.0010000000000000009	3.7499999999998646e-4	1.0006297336616423	3846.9198096654	2926.1555706004683	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditionCD28-41BB	condition	-0.360882021775	-0.051389497712962945	0.2644291228500001	0.6105	0.2322727272727273	1.0015132972943377	2681.895278726754	3567.0305790487273	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditionCD8-41BB	condition	-0.51702114405	-0.21013677163749536	0.12227955860000005	0.241	0.05212499999999999	1.0013765992170094	3549.9584581280897	3471.5949126305095	NA	NA	NA	NA	NA	NA	NA	NA
Perivascular macrophages (chemokine-producing)	conditiontumor	condition	0.42981265320000006	0.70864946978775	0.986950150175	0	0	1.000305947565227	2867.2274467811535	3241.9203578958545	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	(Intercept)	NA	1.6728244612499998	1.8548376337825	2.03646237125	0	0	0.9997764851083809	1545.8422472625082	2201.0011573080646	-4.86445061975	-4.35451982393	-3.8468189927500003	0	0	1.000454486975919	1116.1186733155077	1612.0967917100315
Stress-response microglia	condition41BB-L	condition	-0.6202983762	-0.299263157880186	0.021643206415000043	0.10024999999999995	0.04174999999999999	1.0002507310331579	3371.918596571566	3478.0100082712324	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditionB7H3	condition	-1.06286939875	-0.729998931376675	-0.3934772109	2.4999999999997247e-4	1.666666666666483e-4	1.0004293358099101	3946.497661832626	3171.0808841130697	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditionCD28-41BB	condition	-0.538575322525	-0.2275658130982	0.08596245578500002	0.20650000000000002	0.11271428571428573	1.0008221179417731	3170.899637527807	3843.3880564613355	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditionCD8-41BB	condition	-1.1837792797499997	-0.8547311405945	-0.51347675485	0	0	1.000395759712137	3232.3866883018213	3627.3893733624786	NA	NA	NA	NA	NA	NA	NA	NA
Stress-response microglia	conditiontumor	condition	-0.15813810735000003	0.14075279911156036	0.43926712065	0.39175000000000004	0.091225	0.9997808755909643	4224.697595538551	3911.9726913618683	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	(Intercept)	NA	0.819560892525	0.984274911621	1.1458337925000002	0	0	0.9999055846299061	2810.9777802438116	3850.1765166224463	-5.9536557740000005	-5.3076867704775	-4.694001163499999	0	0	1.0003286948392733	932.7412011483908	1897.5848626683073
TAM-like phagocytic microglia	condition41BB-L	condition	-0.577700001325	-0.27043209233468324	0.03570646211000008	0.137	0.0655625	1.000922670400914	3934.0249695293937	3959.2932782573034	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditionB7H3	condition	-0.33565924475000003	-0.0425321359436305	0.24665955772500003	0.65425	0.09048214285714284	1.0004705945364458	3442.5315974477835	3286.663969930676	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditionCD28-41BB	condition	-0.14794939884999997	0.12890398775009024	0.417155807425	0.42374999999999996	0.16716666666666669	0.9998695076230543	3962.961738763126	4045.8620087510285	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditionCD8-41BB	condition	-0.848721550525	-0.5390436349054	-0.23098584887499998	0.0040000000000000036	0.0010000000000000009	1.0005172173733086	3814.332377567623	3205.459905493516	NA	NA	NA	NA	NA	NA	NA	NA
TAM-like phagocytic microglia	conditiontumor	condition	-0.1645933714	0.13463347049600538	0.43464079870000005	0.4065	0.11988636363636364	0.9998533239617039	3910.8583491810996	3659.8459475627715	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	(Intercept)	NA	-1.51132733975	-1.2491657456935	-0.9864404572250001	0	0	1.0019800806045465	1393.1674751729163	2585.4881645897167	-6.85408467025	-6.157031535825	-5.450448728	0	0	1.0009407539033757	689.2698702924442	1540.4992562146235
cDC1	condition41BB-L	condition	-0.22100878362499998	0.15189436190237754	0.5298146640250002	0.396	0.19105	0.9997821645933793	1913.6764610881323	2292.3188822627408	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditionB7H3	condition	0.24136613872500004	0.5824768068294	0.9246604903250001	0.005499999999999949	0.001874999999999974	1.0002891168195263	2194.9374991022446	2040.7701342581774	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditionCD28-41BB	condition	-0.68919419065	-0.30910003271664815	0.06698261409500003	0.135	0.07885	1.0007497894467468	1902.9385807905378	2126.5426249287366	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditionCD8-41BB	condition	0.13628437570000002	0.49347650990324	0.834640941525	0.01749999999999996	0.004299999999999993	1.0006989419946368	2091.957160325039	2978.514594569711	NA	NA	NA	NA	NA	NA	NA	NA
cDC1	conditiontumor	condition	-0.7951305117	-0.3909748780344295	-0.008667678439249923	0.07099999999999995	0.029785714285714273	1.0021145902287023	1493.1556072853314	3127.1297238593015	NA	NA	NA	NA	NA	NA	NA	NA
