comparison	n_neighborhoods	min_p_value	min_fdr	min_spatial_fdr	n_nominal	n_fdr_0_05	n_spatial_fdr_0_05	max_abs_logFC
41BB-L vs tumor	7240	0.000269141612333777	0.238504227669094	0.322896672924588	849	0	0	8.77578104683993
B7H3 vs tumor	7240	0.000148596673436476	0.13129678303736	0.149178923951896	1303	0	0	7.8290798595917
CD28-41BB vs tumor	7240	0.000389352325900132	0.376984653043976	0.50307337555469	552	0	0	7.19464649854035
CD8-41BB vs tumor	7240	0.000298289740168555	0.125405010118335	0.125090963271081	1553	0	0	8.85311616154447
STOP vs tumor	7240	0.00194795874096953	1	0.97836050316388	293	0	0	7.64853670251926
