comparison	cell_group	n_neighborhoods	median_logFC	mean_logFC	q25_logFC	q75_logFC	fraction_positive_logFC	n_nominal	fraction_nominal	median_logFC_nominal	min_p_value	min_spatial_fdr	median_cell_group_fraction	neg_log10_min_p
CD8-41BB vs tumor	Antigen-presenting TAMs	639	1.75673896652488	1.94158060564211	0.315026867960016	3.26313599192727	0.816901408450704	164	0.256651017214397	4.92156556316113	0.00035878739317464	0.125090963271081	0.992592592592593	3.44516282530151
CD8-41BB vs tumor	Antigen-presenting monocytes	197	1.87788739226512	2.15817494421537	0.918659812002961	3.0561893210035	0.934010152284264	44	0.223350253807107	4.05281213021944	0.000415621247582341	0.125090963271081	1	3.38130225834323
CD8-41BB vs tumor	Inflammatory TAMs	167	7.43108747421196	7.17975910708052	6.66959989195147	7.90997147205991	1	160	0.958083832335329	7.45737191652204	0.000554602695169872	0.125090963271081	1	3.25601802423786
CD8-41BB vs tumor	Early activated microglia	913	-1.04428371513808	-1.12789123398958	-2.13423664111937	-0.0795298705183927	0.23658269441402	137	0.150054764512596	-3.25706856585538	0.000731480093235229	0.125090963271081	1	3.13579748842552
CD8-41BB vs tumor	Stress-response microglia	1539	-1.59480770702632	-1.96520705022629	-3.04588410800738	-0.495297170601112	0.166341780376868	361	0.234567901234568	-5.45573866239896	0.00106467521545531	0.125090963271081	1	2.97278285574422
CD8-41BB vs tumor	Homeostatic microglia	535	-3.65468431864401	-3.10832507642975	-5.86501409010417	-0.271464603100915	0.211214953271028	189	0.353271028037383	-6.14860233450766	0.00184613907138746	0.125090963271081	1	2.73373558626721
CD8-41BB vs tumor	cDC1	114	2.22616995671644	2.59447604643249	1.55174316551457	3.36715287966597	0.982456140350877	33	0.289473684210526	3.89097026784073	0.00224349084621792	0.125090963271081	1	2.64907569811449
CD8-41BB vs tumor	Lipid-associated TAMs	275	1.49543126947955	1.68695871956781	0.232015474851738	3.02316435261028	0.785454545454545	30	0.109090909090909	5.35849874020352	0.00441127788516147	0.125090963271081	1	2.35543558330277
CD8-41BB vs tumor	TAM-like phagocytic microglia	919	-0.048936447209304	0.0391357299319267	-1.16551910813734	0.997120597656935	0.486398258977149	61	0.0663764961915125	4.26268583267999	0.00507267171092562	0.128969866242594	1	2.29476324309298
CD8-41BB vs tumor	Inflammatory activated microglia	655	0.015974179293813	0.0590993037703298	-0.727104796848564	0.804865998274502	0.505343511450382	8	0.0122137404580153	2.97432705142239	0.00874918608085528	0.133887933228442	1	2.05803234663878
CD8-41BB vs tumor	Inflammatory monocytes	88	1.80734438115634	1.68564185059071	0.972206706967578	2.17879360247848	0.988636363636364	8	0.0909090909090909	3.28618359608689	0.0102492640307838	0.139989102571033	1	1.98930731888578
CD8-41BB vs tumor	Perivascular macrophages	251	-0.419465332182699	-0.398343114671713	-0.996087926406867	0.186703899565261	0.346613545816733	4	0.0159362549800797	-0.248402011834893	0.0121363547140506	0.148303923862457	1	1.91591173873883
CD8-41BB vs tumor	Perivascular macrophages (chemokine-producing)	173	-0.719727483094777	-0.684138981435757	-1.23698382220515	-0.185193299868709	0.190751445086705	1	0.00578034682080925	-2.49802104070597	0.0445333532558377	0.235138781209413	1	1.35131460229349
STOP vs tumor	Angiogenic TAMs	775	2.39251558558035	2.36897867841853	0.779283019537786	3.88336917986753	0.860645161290323	130	0.167741935483871	5.32511391438144	0.00194795874096953	0.97836050316388	1	2.710420245999
STOP vs tumor	Perivascular macrophages	251	-0.561718320150839	-0.788731497278813	-1.30624017500916	-0.0921022637176934	0.207171314741036	11	0.0438247011952191	-3.090217530438	0.00423205098552269	0.97836050316388	1	2.37344910879003
STOP vs tumor	Lipid-associated TAMs	275	0.616928844188228	0.830319446697777	-0.173393077427581	2.32764934272045	0.596363636363636	15	0.0545454545454545	4.81080099569963	0.00500040073858	0.97836050316388	1	2.30099518934799
STOP vs tumor	TAM-like phagocytic microglia	919	0.492459351297085	0.581412528962457	-0.296884887438775	1.33953926364365	0.661588683351469	41	0.044613710554951	4.08265500028533	0.00524743890978878	0.97836050316388	1	2.28005260873338
STOP vs tumor	Antigen-presenting TAMs	639	0.532886710631941	0.592793277059531	-0.681504903471994	1.79166549947054	0.588419405320814	37	0.0579029733959311	4.53465434646815	0.00637402975706137	0.97836050316388	0.992592592592593	2.19558591336034
STOP vs tumor	Homeostatic microglia	535	0.365182169203094	0.383928748329896	-0.40529943019949	1.24431612969357	0.637383177570093	15	0.0280373831775701	3.17411531297703	0.00696128580945137	0.97836050316388	1	2.15731053504837
STOP vs tumor	Antigen-presenting monocytes	197	0.948260485498758	1.2194527415101	0.301414160545308	1.78075837064507	0.873096446700508	6	0.0304568527918782	5.13209599463422	0.0123901087206806	0.97836050316388	1	1.90692488276159
STOP vs tumor	Inflammatory TAMs	167	3.37811293285422	3.01873427531729	2.45235213444479	4.65573672833522	0.796407185628742	20	0.119760479041916	5.87287338440589	0.0167250732382346	0.97836050316388	1	1.7766319718028
STOP vs tumor	cDC1	114	0.966580152659068	1.31425731777862	0.453570255343577	1.76724315519951	0.885964912280702	8	0.0701754385964912	4.71940498592045	0.0174804924838161	0.97836050316388	1	1.7574463360042
STOP vs tumor	Inflammatory monocytes	88	0.841168945061787	0.709612025042658	0.134088502996819	1.26337129255226	0.806818181818182	1	0.0113636363636364	2.91138304563354	0.0257534126305828	0.97836050316388	1	1.58916521367407
STOP vs tumor	Stress-response microglia	1539	0.351855657970487	0.333568911543636	-0.18235699459075	0.88006733401201	0.667316439246264	5	0.0032488628979857	2.95444432733094	0.033754484691078	0.97836050316388	1	1.47166851773084
STOP vs tumor	Inflammatory activated microglia	655	0.291122764295464	0.203545517720226	-0.267854334593378	0.731213782403482	0.647328244274809	2	0.00305343511450382	-0.00698106283304112	0.0372874687468767	0.97836050316388	1	1.428437097641
STOP vs tumor	Perivascular macrophages (chemokine-producing)	173	-0.605719493889093	-0.600192641254203	-1.22074121457736	0.00803923418443391	0.254335260115607	2	0.0115606936416185	-2.77906712455166	0.0481832637778173	0.97836050316388	1	1.31710378564343
STOP vs tumor	Early activated microglia	913	0.0175100273994323	-0.0107534276988769	-0.435202809623398	0.401484556569522	0.511500547645126	0	0	NA	0.059890960777426	0.97836050316388	1	1.22263871985973
