comparison	n_neighborhoods	min_p_value	min_fdr	min_spatial_fdr	n_nominal	n_fdr_0_05	n_spatial_fdr_0_05	max_abs_logFC
41BB-L vs STOP	7240	0.0021599567603112	1	0.966287440656911	310	0	0	7.08619387125957
B7H3 vs STOP	7240	0.000281988768106427	0.383356310445183	0.393381575509421	707	0	0	7.89104204288882
CD28-41BB vs STOP	7240	0.00062629877836154	1	1	276	0	0	6.9155648960496
CD8-41BB vs STOP	7240	0.000390852984104186	0.179577892013455	0.236426272544598	1294	0	0	8.41599362963528
tumor vs STOP	7240	0.00194795874096953	1	0.97836050316388	293	0	0	7.64853670251926
